layer,behavioral_probe_d100,prompt_probe_d100,prompt_probe_d10,prompt_probe_d50
2,0.6186666666666666,0.759,0.7040000000000001,0.74
4,0.6326666666666667,0.78,0.721,0.749
6,0.6246666666666666,0.7709999999999999,0.7299999999999999,0.7589999999999999
8,0.64,0.777,0.734,0.7719999999999999
10,0.646,0.819,0.7430000000000001,0.8009999999999999
12,0.6540000000000001,0.818,0.743,0.835
14,0.6699999999999999,0.827,0.773,0.834
16,0.694,0.836,0.766,0.8400000000000001
18,0.7260000000000001,0.866,0.796,0.8450000000000001
20,0.7393333333333334,0.8550000000000001,0.8109999999999999,0.865
22,0.7566666666666666,0.874,0.8240000000000001,0.876
24,0.766,0.8699999999999999,0.843,0.891
26,0.7666666666666667,0.8779999999999999,0.8530000000000001,0.883
28,0.7653333333333334,0.875,0.8400000000000001,0.8719999999999999
30,0.74,0.8800000000000001,0.8280000000000001,0.874
32,0.7193333333333334,0.852,0.8130000000000001,0.8530000000000001
34,0.718,0.8390000000000001,0.781,0.8480000000000001
36,0.734,0.869,0.787,0.852
