layer,raw_accuracy,pns_accuracy,raw_separation_ratio,pns_separation_ratio,raw_covariance_similarity,pns_covariance_similarity
2,0.42933333333333334,0.358,0.4488085210323334,0.15539974586043012,0.9883879988904661,0.9984629902796778
4,0.416,0.43066666666666664,0.475258469581604,0.34552415581492213,0.9998627278283303,0.9998504640181441
6,0.41533333333333333,0.4073333333333333,0.4745892882347107,0.1525915609437296,0.9997826598896472,0.9998910187841364
8,0.4166666666666667,0.4026666666666667,0.47371119260787964,0.14032474987946852,0.9994951248555456,0.9998891483393892
10,0.4166666666666667,0.396,0.47308388352394104,0.0783830993679671,0.9993092330642868,0.9998571134170415
12,0.4166666666666667,0.352,0.4728063642978668,0.12074665263583521,0.9989436377608095,0.999685863171908
14,0.41533333333333333,0.456,0.4732816815376282,0.07565899118697025,0.9987615293667426,0.9996597336662637
16,0.4166666666666667,0.39666666666666667,0.4727138578891754,0.11798588697147497,0.9983859803476259,0.9995587555364617
18,0.4146666666666667,0.4066666666666667,0.47270992398262024,0.18525878980509478,0.9984161636499477,0.9992652754358143
20,0.41733333333333333,0.42733333333333334,0.47212719917297363,0.3464172803181053,0.9979132998539911,0.9985284601672374
22,0.416,0.43333333333333335,0.47464174032211304,0.40611543178358966,0.9975955860898309,0.9981889104443873
24,0.42133333333333334,0.32,0.47451329231262207,0.2710412867838813,0.9971906523313284,0.9991880013612097
26,0.4186666666666667,0.416,0.47080352902412415,0.25204810043088605,0.9961394468075927,0.9985569667736152
28,0.424,0.404,0.46460992097854614,0.27373204766904846,0.9917454794895049,0.998499772052338
30,0.428,0.36933333333333335,0.4567970037460327,0.2928157630055145,0.9843242594091784,0.9975024354027507
32,0.44,0.4613333333333333,0.44018054008483887,0.344792237015268,0.9762170806816943,0.9936981350491102
34,0.454,0.45466666666666666,0.438767671585083,0.33946153688213376,0.9521614349067913,0.9899309826907642
36,0.43933333333333335,0.434,0.45285341143608093,0.2894391242099697,0.9750641544461714,0.9882526875580222
