layer,class_label,n,trace_cov,log_generalized_variance,mean_norm,well_conditioned
1,Refusal,13,1.7695406373613545,-25.102472262548094,0.4362726099985259,True
1,Jailbreak,7,3.482005258871848,-46.67918517763641,0.2312954669775771,False
1,Benign,16,3.134166673994817,-19.217025096742518,0.8478303040478377,True
8,Refusal,13,0.6216444846712779,-25.650309535416056,0.1943396450192993,True
8,Jailbreak,7,2.6518866926891436,-42.35152219685309,1.059370916967193,False
8,Benign,16,6.106253477248851,-13.543123976556316,0.12677176828245398,True
16,Refusal,13,0.5336421299389239,-25.196004079893974,0.2416396782693186,True
16,Jailbreak,7,3.182090305437006,-55.94242717859773,0.8651746233769558,False
16,Benign,16,6.160369182848632,-12.631657781703066,0.16675529459013996,True
24,Refusal,13,0.6748430920619648,-23.295389706221076,0.16696245205135318,True
24,Jailbreak,7,3.846062371387639,-41.785289742363034,0.33714684373438053,False
24,Benign,16,6.609674283181307,-12.76586313316961,0.2153678773113603,True
