layer,behavioral_probe_d100,prompt_probe_d100,prompt_probe_d10,prompt_probe_d50
2,0.592,0.734,0.6689999999999999,0.719
4,0.5953333333333333,0.7809999999999999,0.6940000000000001,0.734
6,0.5980000000000001,0.7670000000000001,0.675,0.72
8,0.5960000000000001,0.766,0.659,0.7430000000000001
10,0.6133333333333332,0.7819999999999999,0.7090000000000001,0.7630000000000001
12,0.6439999999999999,0.799,0.7229999999999999,0.7869999999999998
14,0.6533333333333332,0.8149999999999998,0.7059999999999998,0.8
16,0.6520000000000001,0.8110000000000002,0.709,0.8089999999999999
18,0.6759999999999999,0.827,0.7100000000000001,0.818
20,0.732,0.857,0.8030000000000002,0.861
22,0.746,0.861,0.835,0.8639999999999999
24,0.7573333333333333,0.8699999999999999,0.852,0.876
26,0.7653333333333334,0.8859999999999999,0.849,0.8800000000000001
28,0.7706666666666666,0.874,0.836,0.8719999999999999
30,0.7793333333333334,0.8710000000000001,0.833,0.8640000000000001
32,0.7693333333333333,0.8600000000000001,0.837,0.867
34,0.7666666666666667,0.8620000000000001,0.834,0.8619999999999999
36,0.7653333333333333,0.8530000000000001,0.841,0.861
