layer,raw_accuracy,pns_accuracy,raw_separation_ratio,pns_separation_ratio,raw_covariance_similarity,pns_covariance_similarity
2,0.464,0.5066666666666667,0.41832834482192993,0.3423315688720629,0.949147337679289,0.9911719169400035
4,0.5073333333333333,0.4553333333333333,0.3830130398273468,0.2302223673090714,0.8918381092323528,0.9953114475285413
6,0.49333333333333335,0.44,0.380251944065094,0.26115959132326394,0.9050670845564973,0.9890369671975755
8,0.496,0.4653333333333333,0.3869554102420807,0.29384289725833923,0.9061834360545937,0.9915037333059692
10,0.5106666666666667,0.452,0.3897428512573242,0.2586620172188813,0.8844235771995573,0.9874916417704181
12,0.5033333333333333,0.45266666666666666,0.3996521532535553,0.24296349527705233,0.8853799971602401,0.9872114124785019
14,0.49933333333333335,0.43666666666666665,0.39027321338653564,0.2753953806615483,0.8884972229437543,0.9847474810995201
16,0.5,0.44666666666666666,0.3880566358566284,0.25243770527926734,0.8955334869388638,0.9883022843834052
18,0.5066666666666667,0.41333333333333333,0.38346919417381287,0.23118572480010982,0.9057340749926555,0.9899367736712948
20,0.5746666666666667,0.47,0.4946868121623993,0.30628908268598476,0.8876305115225315,0.9905143790738574
22,0.6286666666666667,0.5233333333333333,0.6298858523368835,0.3842606849487758,0.8807470298164746,0.9927680848373117
24,0.664,0.4846666666666667,0.7834644913673401,0.37742418336473477,0.7948183116984909,0.9515653125995299
26,0.6926666666666667,0.568,0.8319942355155945,0.5942726291388594,0.7686324795711874,0.9440950136876917
28,0.7066666666666667,0.5506666666666666,0.7993760704994202,0.8025182019513646,0.7621409216902707,0.9423941893514964
30,0.718,0.5526666666666666,0.8410038948059082,0.6691054628182551,0.7394093712207642,0.920789475135241
32,0.73,0.5193333333333333,0.9084802269935608,0.4240039474480692,0.7136091289127992,0.9236543121479589
34,0.724,0.494,0.9115970134735107,0.3142606067590229,0.6737927071048819,0.9165794620976785
36,0.722,0.5573333333333333,0.7687590718269348,0.8892255297493559,0.8044908032503272,0.9757735341912716
