layer,class_label,n,trace_cov,log_generalized_variance,mean_norm,well_conditioned
2,Refusal,500,4.349631687969016,-20.59919498672866,0.5823576854876867,True
2,Jailbreak,500,3.492024997148531,-22.40746275459611,0.17172997229850137,True
2,Benign,500,3.4384975294411713,-21.674899292820196,0.49013689366297775,True
4,Refusal,500,2.89758569141357,-20.960328890774136,0.17039630333314676,True
4,Jailbreak,500,3.9755131740292526,-22.919259917391248,0.819521467399193,True
4,Benign,500,4.022814026157925,-22.622054728377698,0.6031033876393571,True
6,Refusal,500,2.3979372385367506,-21.0396885640173,0.24217484271101702,True
6,Jailbreak,500,3.2948314806718737,-23.329660026384538,0.7985627156399276,True
6,Benign,500,3.458033965351148,-22.704206406101154,0.6227366291779914,True
8,Refusal,500,2.4429087595658707,-19.725774406008647,0.3607655078044209,True
8,Jailbreak,500,3.710809074587108,-22.545896415430114,0.814916077486648,True
8,Benign,500,3.937993155365444,-22.198723304696724,0.6087345048565417,True
10,Refusal,500,2.575885350606761,-19.46204390779554,0.42142018159745914,True
10,Jailbreak,500,3.3792543957947245,-22.22183940316444,0.8615236354155369,True
10,Benign,500,3.807818449338474,-22.4292982507109,0.594933122677508,True
12,Refusal,500,2.4007051531258607,-19.835723505982788,0.4532789329939812,True
12,Jailbreak,500,3.3748221478976443,-21.997068971829233,0.812972488178041,True
12,Benign,500,4.12550142333644,-21.70557917963464,0.5989201503705193,True
14,Refusal,500,2.0647373526811483,-20.793151476396353,0.4972498805572085,True
14,Jailbreak,500,3.686588696927192,-21.373131000457377,0.7795814625040494,True
14,Benign,500,4.3799032024270685,-21.26943516239879,0.6934385754591825,True
16,Refusal,500,1.84817564490284,-21.558486908590666,0.45090269916416015,True
16,Jailbreak,500,3.809988280280165,-21.42645545644196,0.7276557296336517,True
16,Benign,500,5.36418583391016,-21.027543507608378,0.6289495203385173,True
18,Refusal,500,1.9281852599858573,-21.777449770408992,1.1541631425963144,True
18,Jailbreak,500,4.171806294544176,-21.114454193753197,0.31722922720696106,True
18,Benign,500,1.6883375995836003,-22.665300688803036,1.0371030182100758,True
20,Refusal,500,1.816913784867595,-21.856296759331958,0.9969132050741208,True
20,Jailbreak,500,4.291634442354042,-20.647183122497335,0.355531493645006,True
20,Benign,500,1.6980564471696118,-22.54861508681793,1.2113629175761587,True
22,Refusal,500,1.7319348138036172,-22.383932869986193,0.9177776375269995,True
22,Jailbreak,500,4.378787341916583,-20.46838298378361,0.3788623366249957,True
22,Benign,500,1.7066441305976636,-22.56427542974385,1.3361831842740701,True
24,Refusal,500,1.6950175613626293,-22.583530982423685,0.923675949872406,True
24,Jailbreak,500,4.400373501173863,-20.24873677235183,0.33378290802299937,True
24,Benign,500,1.8713440971232025,-22.32110431515136,1.3453480374402853,True
26,Refusal,500,1.5719762241893602,-22.848756798041645,0.7988732345144814,True
26,Jailbreak,500,4.563775502061895,-20.282274662574938,0.36723251354316455,True
26,Benign,500,2.1072898319034468,-21.846941037732847,1.4982681796819812,True
28,Refusal,500,1.5259304563556593,-23.795638213278895,0.6978992912794697,True
28,Jailbreak,500,4.582342589422245,-20.407736294146712,0.36215679952213237,True
28,Benign,500,2.3720047450833612,-21.294589490952383,1.5424758500857911,True
30,Refusal,500,1.4403297319962136,-24.174624798762082,0.5467677314561542,True
30,Jailbreak,500,4.646486086204241,-20.201647176743332,0.34500251929782993,True
30,Benign,500,3.2532331622982125,-20.301197413240708,1.5055226177945114,True
32,Refusal,500,1.407587525322982,-23.872434683971303,0.5349212888404231,True
32,Jailbreak,500,4.578744481305951,-19.65572912072711,0.41340816250058093,True
32,Benign,500,3.2519137723525247,-19.102127329437057,1.5276074206058392,True
