space,layer,model,gmm_k,rms_boundary_error,disagreement_rate,degenerate
pns,2,power_multi,2,0.05327488554989695,0.688,0
pns,2,qda,2,,0.186,0
pns,2,lda,2,0.2879114675648542,0.40066666666666667,0
pns,2,power_single,2,,0.67,0
pns,4,power_multi,2,0.3648940253733351,0.636,0
pns,4,qda,2,,0.27466666666666667,0
pns,4,lda,2,0.18125850807703903,0.44733333333333336,0
pns,4,power_single,2,,0.674,0
pns,6,power_multi,2,,0.6133333333333333,0
pns,6,qda,2,,0.272,0
pns,6,lda,2,,0.388,0
pns,6,power_single,2,,0.6226666666666667,0
pns,8,power_multi,2,0.5396315406928517,0.6366666666666667,0
pns,8,qda,2,0.03274528209711291,0.25066666666666665,0
pns,8,lda,2,0.19000959102867943,0.358,0
pns,8,power_single,2,0.10294533334545372,0.5086666666666667,0
pns,10,power_multi,2,,0.6286666666666667,0
pns,10,qda,2,0.03901806685022685,0.22266666666666668,0
pns,10,lda,2,0.1383391370321524,0.354,0
pns,10,power_single,2,,0.538,0
pns,12,power_multi,2,0.026235749832868565,0.5933333333333334,0
pns,12,qda,2,0.036299169752455514,0.22933333333333333,0
pns,12,lda,2,0.18233945948687605,0.392,0
pns,12,power_single,2,,0.6793333333333333,0
pns,14,power_multi,2,0.08428710301710682,0.6213333333333333,0
pns,14,qda,2,0.11071100573668818,0.20666666666666667,0
pns,14,lda,2,0.10723766274613271,0.344,0
pns,14,power_single,2,,0.5453333333333333,0
pns,16,power_multi,2,,0.5346666666666666,0
pns,16,qda,2,0.11873609208635993,0.19333333333333333,0
pns,16,lda,2,0.04672485154200554,0.38533333333333336,0
pns,16,power_single,2,0.00833555710402912,0.5953333333333334,0
pns,18,power_multi,2,,0.5806666666666667,0
pns,18,qda,2,0.04637176160625168,0.25466666666666665,0
pns,18,lda,2,0.0523630245367372,0.4146666666666667,0
pns,18,power_single,2,0.052198599164003524,0.6233333333333333,0
pns,20,power_multi,2,,0.4713333333333333,0
pns,20,qda,2,0.117082616920433,0.24066666666666667,0
pns,20,lda,2,0.12324365108494495,0.36466666666666664,0
pns,20,power_single,2,,0.614,0
pns,22,power_multi,2,,0.42,0
pns,22,qda,2,0.12128491723923059,0.222,0
pns,22,lda,2,0.1746086126087814,0.372,0
pns,22,power_single,2,,0.624,0
pns,24,power_multi,2,,0.5186666666666667,0
pns,24,qda,2,,0.18666666666666668,0
pns,24,lda,2,,0.4673333333333333,0
pns,24,power_single,2,,0.626,0
pns,26,power_multi,2,,0.538,0
pns,26,qda,2,,0.198,0
pns,26,lda,2,0.11720318097893498,0.37933333333333336,0
pns,26,power_single,2,,0.5106666666666667,0
pns,28,power_multi,2,0.39293951498495955,0.51,0
pns,28,qda,2,1.2965432718666179,0.20333333333333334,0
pns,28,lda,2,0.4693449983894741,0.326,0
pns,28,power_single,2,0.7614238852569317,0.47933333333333333,0
pns,30,power_multi,2,,0.4766666666666667,0
pns,30,qda,2,,0.176,0
pns,30,lda,2,0.5975985788717146,0.31666666666666665,0
pns,30,power_single,2,0.9251271052597925,0.5393333333333333,0
pns,32,power_multi,2,,0.5446666666666666,0
pns,32,qda,2,,0.18466666666666667,0
pns,32,lda,2,,0.35533333333333333,0
pns,32,power_single,2,,0.6606666666666666,0
pns,34,power_multi,2,,0.4846666666666667,0
pns,34,qda,2,,0.15666666666666668,0
pns,34,lda,2,,0.36866666666666664,0
pns,34,power_single,2,,0.726,0
pns,36,power_multi,2,0.21142369050650592,0.5173333333333333,0
pns,36,qda,2,0.9740021268959768,0.176,0
pns,36,lda,2,0.419952599548537,0.2693333333333333,0
pns,36,power_single,2,0.6774813408818201,0.43066666666666664,0
