space,layer,model,gmm_k,rms_boundary_error,disagreement_rate,degenerate
rawpca,2,power_multi,2,,0.546,0
rawpca,2,qda,2,,0.25733333333333336,0
rawpca,2,lda,2,0.07027153757374616,0.35,0
rawpca,2,power_single,2,,0.6346666666666667,0
rawpca,4,power_multi,2,,0.49066666666666664,0
rawpca,4,qda,2,0.5078331818170668,0.24333333333333335,0
rawpca,4,lda,2,0.34483613087665527,0.282,0
rawpca,4,power_single,2,0.8469428727798,0.428,0
rawpca,6,power_multi,2,,0.5246666666666666,0
rawpca,6,qda,2,,0.25733333333333336,0
rawpca,6,lda,2,0.564111283104741,0.2773333333333333,0
rawpca,6,power_single,2,,0.44,0
rawpca,8,power_multi,2,1.0856823711275831,0.534,0
rawpca,8,qda,2,0.4216114856612023,0.288,0
rawpca,8,lda,2,0.11534868114381495,0.31866666666666665,0
rawpca,8,power_single,2,1.1182193848589042,0.44066666666666665,0
rawpca,10,power_multi,2,,0.4693333333333333,0
rawpca,10,qda,2,0.1165615742469397,0.33266666666666667,0
rawpca,10,lda,2,0.8427968073057346,0.36666666666666664,0
rawpca,10,power_single,2,2.235850536135343,0.47333333333333333,0
rawpca,12,power_multi,2,,0.43066666666666664,0
rawpca,12,qda,2,1.0397102856587581,0.23266666666666666,0
rawpca,12,lda,2,0.6784471309827814,0.31,0
rawpca,12,power_single,2,,0.528,0
rawpca,14,power_multi,2,,0.5073333333333333,0
rawpca,14,qda,2,1.1591249598721016,0.26066666666666666,0
rawpca,14,lda,2,0.4468086404942481,0.31933333333333336,0
rawpca,14,power_single,2,,0.4686666666666667,0
rawpca,16,power_multi,2,,0.43,0
rawpca,16,qda,2,3.6395977697856043,0.24666666666666667,0
rawpca,16,lda,2,1.058111655821526,0.29333333333333333,0
rawpca,16,power_single,2,,0.5033333333333333,0
rawpca,18,power_multi,2,1.5252414553410367,0.46066666666666667,0
rawpca,18,qda,2,1.9006024498335938,0.2,0
rawpca,18,lda,2,0.8098132950774121,0.27466666666666667,0
rawpca,18,power_single,2,,0.534,0
rawpca,20,power_multi,2,1.76041630300725,0.33066666666666666,0
rawpca,20,qda,2,1.1296075172086173,0.18933333333333333,0
rawpca,20,lda,2,1.7266144860290265,0.22133333333333333,0
rawpca,20,power_single,2,3.5030676416735536,0.378,0
rawpca,22,power_multi,2,5.204439994258476,0.2886666666666667,0
rawpca,22,qda,2,2.225354269336734,0.16866666666666666,0
rawpca,22,lda,2,4.209649344998789,0.21333333333333335,0
rawpca,22,power_single,2,5.740927204586713,0.30733333333333335,0
rawpca,24,power_multi,2,6.612770007547122,0.31533333333333335,0
rawpca,24,qda,2,5.194003455905507,0.144,0
rawpca,24,lda,2,2.9901500899521274,0.174,0
rawpca,24,power_single,2,2.2496667374877917,0.2793333333333333,0
rawpca,26,power_multi,2,1.9352618529843024,0.2806666666666667,0
rawpca,26,qda,2,7.5982768308751005,0.11266666666666666,0
rawpca,26,lda,2,5.465399556546463,0.13266666666666665,0
rawpca,26,power_single,2,3.706122411715091,0.23333333333333334,0
rawpca,28,power_multi,2,2.459354149859215,0.294,0
rawpca,28,qda,2,9.416224508958168,0.118,0
rawpca,28,lda,2,5.630751025738088,0.14066666666666666,0
rawpca,28,power_single,2,4.789473182160015,0.20533333333333334,0
rawpca,30,power_multi,2,7.208728775189999,0.282,0
rawpca,30,qda,2,12.508231016282515,0.10666666666666667,0
rawpca,30,lda,2,9.796128397892675,0.13466666666666666,0
rawpca,30,power_single,2,10.25422854009588,0.182,0
rawpca,32,power_multi,2,15.917790321515403,0.338,0
rawpca,32,qda,2,17.666078591608347,0.138,0
rawpca,32,lda,2,12.432227554546323,0.14,0
rawpca,32,power_single,2,13.269239401218375,0.20533333333333334,0
rawpca,34,power_multi,2,10.612493530945148,0.3526666666666667,0
rawpca,34,qda,2,10.519209207554615,0.14333333333333334,0
rawpca,34,lda,2,18.433253419084764,0.174,0
rawpca,34,power_single,2,27.715064406412786,0.23666666666666666,0
rawpca,36,power_multi,2,8.378830755935565,0.33,0
rawpca,36,qda,2,21.399975523718723,0.13933333333333334,0
rawpca,36,lda,2,12.482605546278828,0.18466666666666667,0
rawpca,36,power_single,2,4.526276754107448,0.232,0
