space,layer,model,n,ece
pns,2,power_multi,450,0.2960900767136847
pns,4,power_multi,450,0.2660232615689186
pns,6,power_multi,450,0.22602326156891858
pns,8,power_multi,450,0.26720118782479585
pns,10,power_multi,450,0.27935659490225195
pns,12,power_multi,450,0.22942341004701808
pns,14,power_multi,450,0.23055679287305128
pns,16,power_multi,450,0.2694234100470181
pns,18,power_multi,450,0.23609007671368473
pns,20,power_multi,450,0.2060232615689186
pns,22,power_multi,450,0.12933432318732985
pns,24,power_multi,450,0.21722345953971792
pns,26,power_multi,450,0.18720118782479583
pns,28,power_multi,450,0.18720118782479578
pns,30,power_multi,450,0.19722345953971793
pns,32,power_multi,450,0.18720118782479583
pns,34,power_multi,450,0.20497896560257367
pns,36,power_multi,450,0.20833457065082903
pns,2,qda,450,0.1972234595397179
pns,4,qda,450,0.20166790398416234
pns,6,qda,450,0.17055679287305117
pns,8,qda,450,0.12933432318732982
pns,10,qda,450,0.1772234595397179
pns,12,qda,450,0.13277901509527348
pns,14,qda,450,0.1461123484286068
pns,16,qda,450,0.14833457065082903
pns,18,qda,450,0.13940113833209597
pns,20,qda,450,0.16820094036129674
pns,22,qda,450,0.17708982925018557
pns,24,qda,450,0.22380103934669637
pns,26,qda,450,0.25368968077208615
pns,28,qda,450,0.21813412521653058
pns,30,qda,450,0.21146745854986387
pns,32,qda,450,0.20126701311556544
pns,34,qda,450,0.20131155654540955
pns,36,qda,450,0.20131155654540955
pns,2,lda,450,0.22166790398416236
pns,4,lda,450,0.1972234595397179
pns,6,lda,450,0.24166790398416238
pns,8,lda,450,0.21277901509527347
pns,10,lda,450,0.20833457065082905
pns,12,lda,450,0.19055679287305122
pns,14,lda,450,0.20389012620638455
pns,16,lda,450,0.21609007671368471
pns,18,lda,450,0.19164563226924028
pns,20,lda,450,0.13922296461271966
pns,22,lda,450,0.1827567433803514
pns,24,lda,450,0.19055679287305122
pns,26,lda,450,0.16497896560257358
pns,28,lda,450,0.12702301410541944
pns,30,lda,450,0.11808958178668644
pns,32,lda,450,0.14380103934669636
pns,34,lda,450,0.1771343726800297
pns,36,lda,450,0.13591190299430833
