space,layer,model,n,ece
rawpca,2,power_multi,450,0.23831229893590697
rawpca,4,power_multi,450,0.19722345953971787
rawpca,6,power_multi,450,0.1970898292501856
rawpca,8,power_multi,450,0.20497896560257362
rawpca,10,power_multi,450,0.2338678544914625
rawpca,12,power_multi,450,0.2005345211581292
rawpca,14,power_multi,450,0.20720118782479585
rawpca,16,power_multi,450,0.18942341004701807
rawpca,18,power_multi,450,0.2038901262063846
rawpca,20,power_multi,450,0.17500123731749567
rawpca,22,power_multi,450,0.15146745854986393
rawpca,24,power_multi,450,0.17242266765652065
rawpca,26,power_multi,450,0.19360059391239798
rawpca,28,power_multi,450,0.19242266765652064
rawpca,30,power_multi,450,0.2114674585498639
rawpca,32,power_multi,450,0.19935659490225194
rawpca,34,power_multi,450,0.2235337787676318
rawpca,36,power_multi,450,0.1926453848057412
rawpca,2,qda,450,0.18053452115812915
rawpca,4,qda,450,0.18497896560257357
rawpca,6,qda,450,0.16166790398416234
rawpca,8,qda,450,0.1338678544914625
rawpca,10,qda,450,0.15164563226924027
rawpca,12,qda,450,0.1494234100470181
rawpca,14,qda,450,0.1338678544914625
rawpca,16,qda,450,0.12488987874288549
rawpca,18,qda,450,0.1449789656025736
rawpca,20,qda,450,0.20153427369463003
rawpca,22,qda,450,0.22693392724573128
rawpca,24,qda,450,0.23908933432318732
rawpca,26,qda,450,0.2559119029943084
rawpca,28,qda,450,0.2635337787676318
rawpca,30,qda,450,0.28575600098985404
rawpca,32,qda,450,0.2613115565454095
rawpca,34,qda,450,0.2702004454342984
rawpca,36,qda,450,0.26353377876763173
rawpca,2,lda,450,0.2105567928730513
rawpca,4,lda,450,0.18384558277654037
rawpca,6,lda,450,0.15609007671368472
rawpca,8,lda,450,0.15944568176194013
rawpca,10,lda,450,0.14720118782479583
rawpca,12,lda,450,0.1682454837911408
rawpca,14,lda,450,0.148334570650829
rawpca,16,lda,450,0.14824548379114083
rawpca,18,lda,450,0.16480079188319724
rawpca,20,lda,450,0.1968671121009651
rawpca,22,lda,450,0.19908933432318734
rawpca,24,lda,450,0.23686711210096514
rawpca,26,lda,450,0.2435337787676318
rawpca,28,lda,450,0.2479782232120762
rawpca,30,lda,450,0.26131155654540955
rawpca,32,lda,450,0.265756000989854
rawpca,34,lda,450,0.25242266765652066
rawpca,36,lda,450,0.24353377876763177
