model,frame,layer,pair,dims,d_mean,d_disp,d_bhattacharyya,rho,error_upper,error_lower,log_trace_ratio,n_a,n_b,rho_lo,rho_hi,rho_se,d_bhattacharyya_lo,d_bhattacharyya_hi,d_bhattacharyya_se,draws_used,err_logistic,err_lda,err_qda,err_best,best_detector,below_floor,above_ceiling,log_trace_R_over_B
Qwen2.5-3B-Instruct,pns,2,Jailbreak_vs_Benign,9,0.07986216843843147,0.1842631188807431,0.26412528731917456,0.6976352804041653,0.3839386641689403,0.1797015420640154,-0.11311953903786948,500,500,0.653234862814833,0.7804293155588888,0.0335484925103624,0.2239976288606425,0.3747520089143267,0.037738381863361106,600,0.33899999999999986,0.34099999999999997,0.31699999999999995,0.31699999999999995,err_qda,False,False,-0.6257071513142611
Qwen2.5-3B-Instruct,pns,2,Jailbreak_vs_Refusal,9,0.050676657732102975,0.14050993454410765,0.19118659227621063,0.7349361316148701,0.4129892262859102,0.21814915474356789,0.5125876122763917,500,500,0.6581714139355848,0.8379939080664232,0.04701251518461166,0.16977336172191487,0.30826680536948114,0.035688541671977464,600,0.3760000000000001,0.385,0.3470000000000001,0.3470000000000001,err_qda,False,False,-0.6257071513142611
Qwen2.5-3B-Instruct,pns,4,Jailbreak_vs_Benign,9,0.10837284740099808,0.16847524300411187,0.27684809040510994,0.6085476073090597,0.37908483080457184,0.1739713339998013,0.11526521736788782,500,500,0.5649326272903585,0.7008680045891682,0.03584698234059468,0.245611251325152,0.36940847961844053,0.031974295859045904,600,0.32099999999999995,0.32200000000000006,0.30699999999999983,0.30699999999999983,err_qda,False,False,-0.4990324959119186
Qwen2.5-3B-Instruct,pns,4,Jailbreak_vs_Refusal,9,0.0213154026392314,0.15863236193294128,0.17994776457217268,0.8815467216838789,0.4176569216238352,0.22511330366912702,0.6142977132798065,500,500,0.7980298035696479,0.9360772879039403,0.03435894683351266,0.15000456020243416,0.2843354453958932,0.03531043627242602,600,0.41900000000000004,0.42400000000000004,0.348,0.348,err_qda,False,False,-0.4990324959119186
Qwen2.5-3B-Instruct,pns,6,Jailbreak_vs_Benign,9,0.09467614144794406,0.15366517078798125,0.24834131223592532,0.6187660418013684,0.3900468211647194,0.18716861202990293,0.07606382576708895,500,500,0.5758627846343963,0.7163659898071459,0.03650193429607847,0.21972209081689642,0.3488621137350168,0.03278905508959442,600,0.33000000000000007,0.33399999999999996,0.31799999999999995,0.31799999999999995,err_qda,False,False,-0.4423185923700841
Qwen2.5-3B-Instruct,pns,6,Jailbreak_vs_Refusal,9,0.037020107296514886,0.13365951200582593,0.17067961930234082,0.7831017701595777,0.4215458202475758,0.23111504052513737,0.5183824181371731,500,500,0.7010241283739377,0.8732816414460808,0.04336010719290454,0.14948267045891442,0.258739384506353,0.028585018419424048,600,0.37,0.374,0.3450000000000001,0.3450000000000001,err_qda,False,False,-0.4423185923700841
Qwen2.5-3B-Instruct,pns,8,Jailbreak_vs_Benign,9,0.09795858459027093,0.14791354755874409,0.24587213214901502,0.6015872814292696,0.3910111070162879,0.18837472151653506,0.05762566361082378,500,500,0.5564078076884845,0.7032659935071438,0.03802113882045754,0.22964445230409303,0.3413002429232817,0.029592906592727217,600,0.33699999999999997,0.3350000000000001,0.31299999999999994,0.31299999999999994,err_qda,False,False,-0.3802112811580624
Qwen2.5-3B-Instruct,pns,8,Jailbreak_vs_Refusal,9,0.04322889988134605,0.12409357442922087,0.1673224743105669,0.7416431949176835,0.42296338884710255,0.23335047028923017,0.437836944768886,500,500,0.6659351688976907,0.8418165523472483,0.04490676421815086,0.14509625760090922,0.2566761591718519,0.02889904544189701,600,0.3790000000000001,0.382,0.363,0.363,err_qda,False,False,-0.3802112811580624
Qwen2.5-3B-Instruct,pns,10,Jailbreak_vs_Benign,9,0.11325041103028918,0.17127684509567942,0.28452725612596863,0.6019699041410995,0.3761849242485792,0.17062953567739148,0.17080929729094546,500,500,0.5461242320747572,0.6956754558664044,0.03864116085384653,0.25144641319551037,0.39502652894494483,0.036975427082192446,600,0.30700000000000005,0.31100000000000005,0.30999999999999994,0.30700000000000005,err_logistic,False,False,-0.36250277340709885
Qwen2.5-3B-Instruct,pns,10,Jailbreak_vs_Refusal,9,0.027832951710186998,0.15938463477773546,0.18721758648792244,0.8513336688485592,0.4146316401344964,0.22057093386804322,0.5333120706980442,500,500,0.779022339872622,0.9158008452744469,0.03439843482598095,0.16583867722448814,0.28858988187511,0.03130831098292095,600,0.4,0.40900000000000003,0.35,0.35,err_qda,False,False,-0.36250277340709885
Qwen2.5-3B-Instruct,pns,12,Jailbreak_vs_Benign,9,0.14170099500232203,0.17593119397166745,0.3176321889739895,0.5538833911637157,0.3639352289828094,0.15714266945968602,0.21101708318209852,500,500,0.5093549858871145,0.6464542529711951,0.035632573743911725,0.2824835555783309,0.4294957806094302,0.03853843399993936,600,0.30499999999999994,0.31200000000000006,0.275,0.275,err_qda,False,False,-0.32849900212764427
Qwen2.5-3B-Instruct,pns,12,Jailbreak_vs_Refusal,9,0.03688229084453722,0.14845544101920538,0.1853377318637426,0.8009995564656391,0.41541182042354297,0.2217321084774636,0.5395160853097427,500,500,0.7319813603402923,0.8858960502652837,0.03760068051599772,0.16786922069809473,0.2815465663306124,0.028727419120843978,600,0.406,0.41200000000000014,0.34299999999999997,0.34299999999999997,err_qda,False,False,-0.32849900212764427
Qwen2.5-3B-Instruct,pns,14,Jailbreak_vs_Benign,9,0.14157139693679474,0.16171389040960982,0.3032852873464046,0.5332071721135104,0.3691942067241185,0.1628121625542392,0.11980940944280183,500,500,0.4934308129591892,0.634735885247979,0.03559036701831775,0.26851934118638016,0.4227361186191052,0.03930537030238086,600,0.30199999999999994,0.30099999999999993,0.30199999999999994,0.30099999999999993,err_lda,False,False,-0.3478722465000587
Qwen2.5-3B-Instruct,pns,14,Jailbreak_vs_Refusal,9,0.04663857489575572,0.14672557360403005,0.19336414849978578,0.7588044357881192,0.4120908974616738,0.21683733962749924,0.4676816559428605,500,500,0.6921111231148478,0.8450662920265571,0.039894275058770946,0.1787132648994028,0.2817573828751129,0.02668336594951803,600,0.383,0.387,0.35599999999999987,0.35599999999999987,err_qda,False,False,-0.3478722465000587
Qwen2.5-3B-Instruct,pns,16,Jailbreak_vs_Benign,9,0.12808751789799952,0.14906843651245616,0.2771559544104557,0.5378503840177015,0.37896814219322783,0.17383570519964409,0.020267677959648338,500,500,0.5079804154831844,0.6320531487979512,0.032789268514108814,0.24533977194325912,0.38460465707544245,0.036009180142822096,600,0.30499999999999994,0.30600000000000005,0.29900000000000004,0.29900000000000004,err_qda,False,False,-0.4599919860854852
Qwen2.5-3B-Instruct,pns,16,Jailbreak_vs_Refusal,9,0.03583163198358977,0.1347985464696233,0.17063017845321307,0.7900041346237305,0.4215666623460964,0.23114771862903533,0.4802596640451334,500,500,0.7137875938507404,0.8777329495369929,0.041760117417366543,0.15739999109297903,0.2573841873373353,0.024905651092916738,600,0.383,0.377,0.359,0.359,err_qda,False,False,-0.4599919860854852
Qwen2.5-3B-Instruct,pns,18,Jailbreak_vs_Benign,9,0.1402458119206027,0.14108667232465066,0.28133248424525337,0.5014944246596759,0.3773886710909559,0.1720094651789441,-0.004529599012346481,500,500,0.4628609925396851,0.6041340700549613,0.03556854858610724,0.25471625158337496,0.38188324069240465,0.032998645875805255,600,0.2889999999999999,0.29100000000000004,0.2929999999999999,0.2889999999999999,err_logistic,False,False,-0.4625059713561655
Qwen2.5-3B-Instruct,pns,18,Jailbreak_vs_Refusal,9,0.03853118241067816,0.14239932746093054,0.1809305098716087,0.7870387783794976,0.41724667286536976,0.2244909911041399,0.45797637234381894,500,500,0.7042624358672736,0.8643603481761337,0.041809795060837436,0.16754272164447748,0.263694111335693,0.024317338133537102,600,0.389,0.389,0.348,0.348,err_qda,False,False,-0.4625059713561655
Qwen2.5-3B-Instruct,pns,20,Jailbreak_vs_Benign,9,0.19055820761042389,0.21162576824410095,0.4021839758545248,0.5261914470720951,0.3344288403534188,0.1283047609400041,-0.11132214486269239,500,500,0.48119170022936447,0.6096147444329598,0.03231617097038197,0.3644512595870494,0.5132565584618582,0.039668808250101356,600,0.27100000000000013,0.2769999999999999,0.24,0.24,err_qda,False,False,-0.5849564656432491
Qwen2.5-3B-Instruct,pns,20,Jailbreak_vs_Refusal,9,0.13684743124251922,0.14210429055494878,0.27895172179746797,0.509422525300357,0.3782882142416992,0.17304736280949456,0.4736343207805567,500,500,0.4514754885426405,0.6310125631672452,0.04573968588575514,0.26151906708751393,0.36823094163080466,0.027840326292526155,600,0.29600000000000004,0.29600000000000004,0.274,0.274,err_qda,False,False,-0.5849564656432491
Qwen2.5-3B-Instruct,pns,22,Jailbreak_vs_Benign,9,0.15108773061818387,0.21493586911258866,0.36602359973077253,0.587218609047843,0.346743217461739,0.13976515834211545,-0.1776688383497473,500,500,0.5401822829828381,0.6661379573272639,0.03341776439276491,0.33198884025223097,0.48387624075664304,0.03850246582392408,600,0.30599999999999994,0.30699999999999983,0.256,0.256,err_qda,False,False,-0.8233013719739337
Qwen2.5-3B-Instruct,pns,22,Jailbreak_vs_Refusal,9,0.20853495739777259,0.14239467622643254,0.35092963362420515,0.40576418342292697,0.35201664619195056,0.14491651572655329,0.6456325336241864,500,500,0.36616432439651597,0.5061047033735732,0.03641166684481652,0.32469437297982934,0.4516884956057305,0.03205629275412728,600,0.262,0.267,0.21599999999999997,0.21599999999999997,err_qda,False,False,-0.8233013719739337
Qwen2.5-3B-Instruct,pns,24,Jailbreak_vs_Benign,9,0.04864125767124654,0.33667629377131547,0.385317551442562,0.8737631922315967,0.3401172962138953,0.13350276288060586,0.7062398528548941,500,500,0.8323800286770315,0.9148099466321564,0.022346940213324423,0.3390465639904551,0.49721264911269747,0.040214728004140755,600,0.382,0.3779999999999999,0.277,0.277,err_qda,False,False,1.2945788451667994
Qwen2.5-3B-Instruct,pns,24,Jailbreak_vs_Refusal,9,0.09641292137438154,0.22262612070347565,0.31903904207785716,0.6978021224410107,0.36342358556426246,0.15660038227217665,-0.5883389923119052,500,500,0.6403454381938465,0.7819644379009838,0.036964732140111214,0.2930598844150055,0.4192584082107183,0.032670497979897344,600,0.33699999999999997,0.33499999999999996,0.248,0.248,err_qda,False,False,1.2945788451667994
Qwen2.5-3B-Instruct,pns,26,Jailbreak_vs_Benign,9,0.08765256063970703,0.38871573976521034,0.4763683004049174,0.8159983345550038,0.3105173563929591,0.10810846988136114,0.7336334249603891,500,500,0.7695979344054527,0.8639667240367047,0.023913394685283123,0.4265662342186841,0.5917435370921618,0.0437016109415432,600,0.33699999999999997,0.32699999999999996,0.25,0.25,err_qda,False,False,1.1464678388307024
Qwen2.5-3B-Instruct,pns,26,Jailbreak_vs_Refusal,9,0.16466016836238173,0.24988042430221213,0.41454059266459387,0.602788794930853,0.3303218577842836,0.12465020278420352,-0.4128344138703133,500,500,0.5511472153856497,0.6843872051008618,0.03418022642714939,0.3819273649567317,0.5349803402340898,0.039374310659064035,600,0.263,0.2620000000000001,0.20799999999999996,0.20799999999999996,err_qda,False,False,1.1464678388307024
Qwen2.5-3B-Instruct,pns,28,Jailbreak_vs_Benign,9,0.09615729291297992,0.2946070007725634,0.39076429368554333,0.753925078450592,0.3382698009517506,0.13179687431519127,0.6858238417537765,500,500,0.708421293780633,0.8059027921813234,0.024783334574104116,0.35657403235016166,0.4989755853281208,0.036470982929463415,600,0.357,0.353,0.257,0.257,err_qda,False,False,0.7243699587606499
Qwen2.5-3B-Instruct,pns,28,Jailbreak_vs_Refusal,9,0.23204249318659836,0.3062972181264829,0.5383397113130812,0.5689664196969304,0.2918582931696263,0.09402126076835937,-0.03854611700687347,500,500,0.5246905901858233,0.6413698972128049,0.031168874806826705,0.4845915302131479,0.6767806026242751,0.04974648788252126,600,0.21699999999999997,0.21599999999999997,0.21499999999999997,0.21499999999999997,err_qda,False,False,0.7243699587606499
Qwen2.5-3B-Instruct,pns,30,Jailbreak_vs_Benign,9,0.07759814595300982,0.3088184254390125,0.38641657139202235,0.7991852531751648,0.3397437058494347,0.13315641707167242,0.7321323629047152,500,500,0.7523931346010373,0.8468427989043676,0.023243510322868314,0.349779132832011,0.5051323152453238,0.036881638960795195,600,0.359,0.355,0.258,0.258,err_qda,False,False,1.0024475744839012
Qwen2.5-3B-Instruct,pns,30,Jailbreak_vs_Refusal,9,0.16363666386692732,0.38658564260325434,0.5502223064701817,0.7025990005445275,0.28841078248004526,0.09156491268593486,-0.27031521157918614,500,500,0.6562570867365599,0.7659762750712592,0.027797372322180155,0.4978064160843695,0.6899822413426748,0.04932181229012312,600,0.263,0.2620000000000001,0.22099999999999997,0.22099999999999997,err_qda,False,False,1.0024475744839012
Qwen2.5-3B-Instruct,pns,32,Jailbreak_vs_Benign,9,0.09569956400186538,0.3152388612496644,0.4109384252515298,0.7671194560516238,0.33151387805557314,0.1257025933077353,0.7215433460531658,500,500,0.7195718338199839,0.8188872695547399,0.024906993261768325,0.36120441299720746,0.5388616243535221,0.04259993753917282,600,0.3440000000000001,0.347,0.274,0.274,err_qda,False,False,1.3745824921008494
Qwen2.5-3B-Instruct,pns,32,Jailbreak_vs_Refusal,9,0.10095175152364047,0.4671656318670614,0.5681173833907018,0.8223047657490625,0.2832955545465276,0.08800045051702371,-0.6530391460476833,500,500,0.7784657937988544,0.8679970584936173,0.02319114081964082,0.5095889959463382,0.7108648675498059,0.052036574685168,600,0.31200000000000006,0.31499999999999995,0.21100000000000008,0.21100000000000008,err_qda,False,False,1.3745824921008494
