model,layer,frame,delta,null_mean,null_sd,null_lo,null_hi,z_vs_null,p_two_sided,p_floor,draws,delta_lo,delta_hi,delta_se,sign_stability,p_holm
Qwen2.5-3B-Instruct,2,pns,-0.6257071513142611,0.00010671762803403011,0.06379442462674058,-0.12559852627526472,0.12309931877791735,-9.809852077260903,9.999000099990002e-05,9.999000099990002e-05,10000,-0.7570301101465918,-0.49720065543717434,0.06618397227756717,1.0,0.0017998200179982003
Qwen2.5-3B-Instruct,4,pns,-0.4990324959119186,-3.226502730643581e-05,0.06210517111834807,-0.12199225904212595,0.12144614362621736,-8.03476138780318,9.999000099990002e-05,9.999000099990002e-05,10000,-0.622478141190833,-0.37552687395754875,0.06328912228014562,1.0,0.0017998200179982003
Qwen2.5-3B-Instruct,6,pns,-0.44231859237008425,-0.00017392318676038112,0.060307007143898264,-0.11808868873255628,0.11653804295162769,-7.331563778788169,9.999000099990002e-05,9.999000099990002e-05,10000,-0.5642358392629149,-0.3196404366974351,0.06213288610261113,1.0,0.0017998200179982003
Qwen2.5-3B-Instruct,8,pns,-0.38021128115806224,-0.00020737980689521129,0.0567674600549125,-0.11122221033897896,0.10989868700285665,-6.694044457574468,9.999000099990002e-05,9.999000099990002e-05,10000,-0.4947599727170206,-0.2640821139921428,0.05879127434722341,1.0,0.0017998200179982003
Qwen2.5-3B-Instruct,10,pns,-0.36250277340709836,-0.0001590144650530096,0.05473883984147107,-0.10636141743752094,0.10481910197898849,-6.6195001573184165,9.999000099990002e-05,9.999000099990002e-05,10000,-0.4734150651901691,-0.25212655612306883,0.056784817979317004,1.0,0.0017998200179982003
Qwen2.5-3B-Instruct,12,pns,-0.3284990021276444,-1.3562992079222136e-05,0.0569494728859001,-0.112281329013672,0.10956305010749755,-5.7680154440357185,9.999000099990002e-05,9.999000099990002e-05,10000,-0.44335779996267655,-0.21328663126265116,0.058501359156934496,1.0,0.0017998200179982003
Qwen2.5-3B-Instruct,14,pns,-0.34787224650005905,-0.0002878191817943235,0.05794050030847306,-0.11438252829564033,0.11182387045687205,-5.99898905718346,9.999000099990002e-05,9.999000099990002e-05,10000,-0.46501512429486064,-0.22970694989075305,0.05981408815003822,1.0,0.0017998200179982003
Qwen2.5-3B-Instruct,16,pns,-0.4599919860854852,-0.0002648138110095383,0.0569391820173671,-0.11349131534608359,0.10943496320459933,-8.07400380522245,9.999000099990002e-05,9.999000099990002e-05,10000,-0.5738651029341207,-0.3465164943666339,0.05810107600508871,1.0,0.0017998200179982003
Qwen2.5-3B-Instruct,18,pns,-0.46250597135616583,-0.00042767607341190106,0.05522099911787812,-0.11239057624101458,0.10710099352061354,-8.367800341612316,9.999000099990002e-05,9.999000099990002e-05,10000,-0.5729750245176947,-0.3518822787262866,0.056804336959310406,1.0,0.0017998200179982003
Qwen2.5-3B-Instruct,20,pns,-0.5849564656432491,-0.000361398809256141,0.05196575100999107,-0.10593952484101252,0.0999249770411559,-11.249622212168111,9.999000099990002e-05,9.999000099990002e-05,10000,-0.6961369459044645,-0.4767985683073692,0.0556803480026754,1.0,0.0017998200179982003
