row_index,true,predicted,margin,correct
692,Refusal,Refusal,0.16784997895776999,1
1384,Benign,Refusal,0.13870202407397025,0
1199,Jailbreak,Benign,0.10611980052700531,0
827,Refusal,Benign,0.41815276166308984,0
150,Benign,Jailbreak,0.1881065449010949,0
1291,Jailbreak,Refusal,0.01685399630507939,0
545,Benign,Refusal,0.14549330337731492,0
824,Benign,Benign,0.347663875741135,1
869,Jailbreak,Benign,0.054421396484922724,0
384,Refusal,Jailbreak,0.07173654624636222,0
732,Benign,Refusal,0.40739026604398365,0
1419,Jailbreak,Refusal,0.1747630186336233,0
1477,Jailbreak,Benign,0.06618409573473383,0
1173,Benign,Jailbreak,0.09262428179181742,0
508,Benign,Benign,0.2240330198608652,1
278,Benign,Jailbreak,0.009259371111931924,0
1242,Benign,Jailbreak,0.13807189018040894,0
631,Jailbreak,Benign,0.34717616801716783,0
1181,Refusal,Jailbreak,0.2661398308873088,0
340,Refusal,Refusal,0.13204106561596352,1
660,Benign,Refusal,0.029651532424991134,0
684,Refusal,Refusal,0.15566642008538856,1
1453,Benign,Jailbreak,0.048326037762858376,0
1332,Jailbreak,Refusal,0.08869570770605345,0
135,Benign,Jailbreak,0.03298517825721059,0
801,Benign,Refusal,0.02600177055446043,0
428,Refusal,Benign,0.1640755130430479,0
380,Benign,Benign,0.3911582165617229,1
870,Benign,Benign,0.10840932270502768,1
312,Jailbreak,Benign,0.001503693594697847,0
558,Benign,Benign,0.0656102875941097,1
1048,Jailbreak,Refusal,0.04839631591259663,0
1151,Jailbreak,Jailbreak,0.3750474930036173,1
1293,Benign,Benign,0.05563246730520405,1
333,Benign,Jailbreak,0.6648839861904683,0
1170,Refusal,Jailbreak,0.10888217588325899,0
329,Jailbreak,Refusal,0.1508216952950508,0
258,Benign,Refusal,0.009088225160562291,0
877,Jailbreak,Refusal,0.09004925788549412,0
769,Benign,Refusal,0.2405357835188251,0
120,Benign,Jailbreak,0.0634649599177618,0
128,Jailbreak,Refusal,0.4008399141703225,0
1093,Jailbreak,Benign,0.14721876117956867,0
1214,Refusal,Benign,0.043951574833037466,0
524,Refusal,Jailbreak,0.160599811573517,0
1275,Jailbreak,Refusal,0.023974997053822666,0
229,Refusal,Jailbreak,0.05721744758685304,0
76,Benign,Benign,0.020987821845091736,1
1261,Benign,Refusal,0.13583989335214794,0
620,Benign,Benign,0.05271378909673277,1
1274,Jailbreak,Benign,0.08288980144667618,0
964,Benign,Jailbreak,0.030689171097211143,0
235,Jailbreak,Refusal,0.010258200446321974,0
608,Refusal,Refusal,0.3775650538135835,1
714,Jailbreak,Benign,0.04044142970277373,0
1362,Benign,Benign,0.07192682428470992,1
456,Benign,Jailbreak,0.2931238642921077,0
746,Benign,Benign,0.9898543042106269,1
731,Refusal,Benign,0.4317918405337568,0
1462,Refusal,Benign,0.5698199736257701,0
879,Benign,Refusal,0.01704999807044366,0
603,Jailbreak,Jailbreak,0.027022381825716923,1
1444,Benign,Benign,0.01737666493229459,1
517,Jailbreak,Jailbreak,0.18365904363555968,1
248,Refusal,Refusal,0.056604734282202585,1
721,Jailbreak,Refusal,0.5801136906874295,0
138,Benign,Benign,0.0030678093202655132,1
637,Refusal,Jailbreak,0.28187299241976294,0
1021,Refusal,Benign,0.4669340845147075,0
789,Refusal,Jailbreak,0.08354832937013074,0
352,Refusal,Jailbreak,0.03779317047938374,0
365,Jailbreak,Refusal,0.1016838109474758,0
91,Jailbreak,Refusal,0.06756060373520689,0
690,Refusal,Benign,0.03279368998721105,0
693,Jailbreak,Benign,0.22384022249004265,0
1067,Jailbreak,Jailbreak,0.1394355919482565,1
1071,Jailbreak,Jailbreak,0.13402045884081937,1
1020,Benign,Benign,0.29200597440971743,1
1277,Jailbreak,Jailbreak,0.20618094922094043,1
1197,Jailbreak,Refusal,0.047664878839787345,0
550,Jailbreak,Benign,0.09229344765176695,0
652,Jailbreak,Refusal,0.08721776308165496,0
1392,Refusal,Benign,0.00234588653856993,0
1226,Jailbreak,Jailbreak,0.033670012752239464,1
1011,Jailbreak,Benign,0.47727882221456364,0
1007,Jailbreak,Jailbreak,0.06691438372619773,1
292,Benign,Jailbreak,0.1216646594846641,0
1460,Jailbreak,Benign,0.034577673827909106,0
316,Jailbreak,Benign,0.05516473929001792,0
1442,Benign,Refusal,0.09708502778393324,0
919,Benign,Benign,0.3261301038730356,1
1090,Refusal,Refusal,0.13322620128910975,1
573,Jailbreak,Benign,0.2496387904134339,0
116,Refusal,Benign,0.06943187267986328,0
1340,Benign,Benign,0.04250475200678783,1
625,Refusal,Refusal,0.2819191157227849,1
1032,Refusal,Jailbreak,0.2152258116933956,0
1045,Jailbreak,Refusal,0.2707845927060488,0
1356,Refusal,Jailbreak,0.02333580562636678,0
1452,Refusal,Jailbreak,0.1009223610476706,0
1360,Refusal,Benign,0.21494271458681863,0
1399,Benign,Refusal,0.08493592967621388,0
213,Benign,Refusal,0.033700378939544584,0
240,Jailbreak,Refusal,0.12853827677024054,0
1044,Benign,Jailbreak,0.017610925954679613,0
980,Refusal,Refusal,0.05094858573765529,1
350,Benign,Refusal,0.12934642287770443,0
794,Refusal,Benign,0.8286665819469825,0
242,Refusal,Jailbreak,0.04934670999739632,0
751,Refusal,Refusal,0.19319265395230478,1
1457,Benign,Refusal,0.11308646942915485,0
902,Jailbreak,Jailbreak,0.2825481786980448,1
1133,Refusal,Jailbreak,0.046398977053197454,0
461,Jailbreak,Benign,0.01981151648370333,0
114,Jailbreak,Benign,0.006176946875856626,0
241,Refusal,Jailbreak,0.030562327966396685,0
522,Refusal,Benign,0.15358933645715017,0
1276,Refusal,Jailbreak,0.6526332252009442,0
1396,Refusal,Refusal,0.06940953614288864,1
1060,Jailbreak,Benign,0.9781975437165609,0
61,Benign,Benign,0.08777760887263053,1
466,Benign,Benign,0.7668565067193251,1
1194,Jailbreak,Benign,0.08779800402601601,0
1491,Refusal,Jailbreak,0.1683356854597683,0
906,Refusal,Benign,0.18104482916224057,0
1381,Benign,Jailbreak,0.19318628275685862,0
1390,Jailbreak,Benign,0.10239355610390338,0
781,Benign,Refusal,0.005916992062090343,0
810,Refusal,Refusal,0.3230961939813221,1
216,Refusal,Refusal,0.07108734665198979,1
504,Benign,Benign,0.03453657072417393,1
1087,Jailbreak,Benign,0.027522691859997783,0
80,Refusal,Refusal,0.9521438065887221,1
1091,Benign,Benign,0.04499574543916102,1
1306,Jailbreak,Benign,0.009097879104489726,0
1280,Jailbreak,Jailbreak,0.2573616068237177,1
572,Benign,Benign,0.03128975037927051,1
252,Benign,Benign,0.04035604021530109,1
31,Refusal,Jailbreak,0.03729014875181719,0
379,Jailbreak,Jailbreak,0.17681276083808262,1
640,Jailbreak,Jailbreak,0.08722920827840433,1
566,Benign,Benign,0.024299930792101465,1
151,Benign,Refusal,0.026553994538814074,0
961,Benign,Refusal,0.017146614802189875,0
941,Refusal,Benign,0.9361429543460785,0
1121,Jailbreak,Refusal,0.2444011416903828,0
602,Benign,Benign,0.10932142873535958,1
1236,Refusal,Jailbreak,0.2573923665759532,0
19,Jailbreak,Benign,0.08317647816099166,0
354,Refusal,Jailbreak,0.26996483126146004,0
1231,Refusal,Jailbreak,0.3585471680488297,0
1112,Jailbreak,Jailbreak,0.008125801617777428,1
1290,Refusal,Refusal,0.6165457851354449,1
388,Benign,Refusal,0.0987672510050695,0
1134,Refusal,Jailbreak,0.21379112596014668,0
614,Jailbreak,Refusal,0.14138319329528837,0
255,Benign,Refusal,0.0009967668548196418,0
530,Jailbreak,Refusal,0.01886533779364663,0
314,Refusal,Refusal,0.1551840341523154,1
713,Refusal,Refusal,0.6880445215700759,1
643,Refusal,Jailbreak,0.09847994728546883,0
1066,Refusal,Benign,0.1591070340040895,0
1437,Jailbreak,Refusal,0.16357126405762112,0
1405,Benign,Benign,0.3143653374116369,1
1364,Jailbreak,Jailbreak,0.10609637315309661,1
260,Refusal,Jailbreak,0.15194527882870465,0
808,Benign,Refusal,0.21697709418238098,0
1374,Benign,Jailbreak,0.06910126569982955,0
264,Benign,Benign,0.01978502893695988,1
909,Refusal,Refusal,0.04819578796461407,1
0,Benign,Jailbreak,0.056931488570963085,0
1153,Refusal,Benign,0.261805809082507,0
744,Jailbreak,Jailbreak,0.10004582511588117,1
196,Refusal,Refusal,0.13834306119997153,1
993,Benign,Benign,0.019997646961494975,1
378,Jailbreak,Refusal,0.23170243543613595,0
823,Refusal,Jailbreak,0.24853684496735617,0
1218,Refusal,Refusal,0.14454630609405378,1
526,Jailbreak,Jailbreak,0.11390056327845588,1
1481,Refusal,Refusal,0.052980490219896426,1
523,Benign,Benign,0.007837781346651196,1
609,Benign,Benign,0.03560604648317006,1
1400,Refusal,Refusal,0.08697602852827202,1
875,Jailbreak,Jailbreak,0.20392268539633612,1
785,Benign,Benign,0.16516263939108666,1
549,Jailbreak,Jailbreak,0.03724109885551263,1
691,Jailbreak,Jailbreak,0.054263683565380694,1
281,Refusal,Refusal,0.0032461485591278316,1
743,Jailbreak,Refusal,0.2779067395106037,0
1318,Benign,Jailbreak,0.12747249739216718,0
