row_index,true,predicted,margin,correct
692,Refusal,Jailbreak,0.020635542487950853,0
1384,Benign,Benign,2.113866617203881,1
1199,Jailbreak,Refusal,0.12049276205940473,0
827,Refusal,Jailbreak,0.07463967338974109,0
150,Benign,Refusal,0.19563759740112135,0
1291,Jailbreak,Refusal,0.481882370354182,0
545,Benign,Benign,0.13212566406415216,1
824,Benign,Benign,0.3876297921134502,1
869,Jailbreak,Jailbreak,0.03937094419867149,1
384,Refusal,Jailbreak,0.0761848023538454,0
732,Benign,Refusal,0.03319513708988847,0
1419,Jailbreak,Refusal,0.5290376909985607,0
1477,Jailbreak,Refusal,0.023262924667796392,0
1173,Benign,Benign,0.03554784958359963,1
508,Benign,Refusal,0.728032245858234,0
278,Benign,Jailbreak,0.09404111791977043,0
1242,Benign,Jailbreak,0.11094469125273465,0
631,Jailbreak,Benign,0.3528481312500907,0
1181,Refusal,Jailbreak,0.02237769162044473,0
340,Refusal,Jailbreak,0.07248464510614505,0
660,Benign,Refusal,0.028762198330408828,0
684,Refusal,Jailbreak,0.07046813713851485,0
1453,Benign,Jailbreak,0.04179284065223282,0
1332,Jailbreak,Jailbreak,0.03418358176619163,1
135,Benign,Jailbreak,0.0419130343277605,0
801,Benign,Benign,0.1405376166581846,1
428,Refusal,Refusal,0.0010276862667736308,1
380,Benign,Benign,2.8814443880848124,1
870,Benign,Jailbreak,0.039240883106863134,0
312,Jailbreak,Benign,0.3661833238522856,0
558,Benign,Jailbreak,0.3515825214775379,0
1048,Jailbreak,Jailbreak,0.2836931003707134,1
1151,Jailbreak,Refusal,0.12297043871541907,0
1293,Benign,Benign,0.22200897156403943,1
333,Benign,Benign,0.28489203044459666,1
1170,Refusal,Benign,0.20782027275175163,0
329,Jailbreak,Benign,0.14997021674321576,0
258,Benign,Refusal,0.15490610391229043,0
877,Jailbreak,Refusal,0.06279807623082534,0
769,Benign,Jailbreak,0.07291863396308829,0
120,Benign,Refusal,0.07036327103673018,0
128,Jailbreak,Jailbreak,0.14310439170429534,1
1093,Jailbreak,Benign,0.36241977293366917,0
1214,Refusal,Benign,0.19354103882188328,0
524,Refusal,Benign,0.03573453542615329,0
1275,Jailbreak,Refusal,0.2432003146307724,0
229,Refusal,Benign,0.036223990909322934,0
76,Benign,Benign,0.055143472599957055,1
1261,Benign,Benign,0.23995167703343312,1
620,Benign,Benign,0.18278590531063954,1
1274,Jailbreak,Benign,0.02171807597747688,0
964,Benign,Jailbreak,0.24504102889778306,0
235,Jailbreak,Jailbreak,0.11210858253558231,1
608,Refusal,Refusal,0.014411905765393695,1
714,Jailbreak,Jailbreak,0.05015059322608545,1
1362,Benign,Refusal,0.23707295447915444,0
456,Benign,Jailbreak,0.04057218427660697,0
746,Benign,Benign,1.3861701377140951,1
731,Refusal,Benign,0.39853245418204253,0
1462,Refusal,Benign,0.9296938816414124,0
879,Benign,Jailbreak,0.23672765786650413,0
603,Jailbreak,Benign,0.5906812614614354,0
1444,Benign,Benign,0.27895619661522786,1
517,Jailbreak,Jailbreak,0.08804625921856818,1
248,Refusal,Benign,0.0975310960348445,0
721,Jailbreak,Jailbreak,0.15238919070675527,1
138,Benign,Refusal,0.11592052370637307,0
637,Refusal,Refusal,0.005267414252292213,1
1021,Refusal,Benign,0.7070992558406304,0
789,Refusal,Refusal,0.06347518875425229,1
352,Refusal,Benign,0.45826154414429165,0
365,Jailbreak,Refusal,0.14958326758757573,0
91,Jailbreak,Refusal,0.2193003026647678,0
690,Refusal,Benign,0.4131302722203208,0
693,Jailbreak,Jailbreak,0.08121591986013965,1
1067,Jailbreak,Jailbreak,0.14896690968753984,1
1071,Jailbreak,Benign,0.11430918056840428,0
1020,Benign,Benign,1.5690950651180047,1
1277,Jailbreak,Benign,0.09814552256152476,0
1197,Jailbreak,Refusal,0.17852873413848003,0
550,Jailbreak,Jailbreak,0.07941000669867149,1
652,Jailbreak,Benign,0.13820227058808254,0
1392,Refusal,Refusal,1.1061726277538106,1
