row_index,true,predicted,margin,correct
692,Refusal,Refusal,2.1973953,1
1384,Benign,Jailbreak,2.1616325,0
1199,Jailbreak,Benign,4.104904,0
827,Refusal,Refusal,4.002637,1
150,Benign,Refusal,3.5650578,0
1291,Jailbreak,Jailbreak,5.9768105,1
545,Benign,Jailbreak,3.4446287,0
824,Benign,Benign,3.4688187,1
869,Jailbreak,Jailbreak,2.9094543,1
384,Refusal,Refusal,0.28378677,1
732,Benign,Refusal,1.4235096,0
1419,Jailbreak,Jailbreak,2.240078,1
1477,Jailbreak,Refusal,0.7675781,0
1173,Benign,Benign,2.742588,1
508,Benign,Benign,2.281273,1
278,Benign,Benign,0.45970154,1
1242,Benign,Benign,2.6017132,1
631,Jailbreak,Refusal,0.08032131,0
1181,Refusal,Refusal,3.240182,1
340,Refusal,Refusal,0.07810116,1
660,Benign,Jailbreak,3.1845188,0
684,Refusal,Jailbreak,1.5720139,0
1453,Benign,Benign,3.037445,1
1332,Jailbreak,Jailbreak,3.1622734,1
135,Benign,Refusal,0.360178,0
801,Benign,Benign,3.3428192,1
428,Refusal,Refusal,4.6783733,1
380,Benign,Benign,2.6440172,1
870,Benign,Jailbreak,1.1625099,0
312,Jailbreak,Refusal,0.27545357,0
558,Benign,Jailbreak,2.2982044,0
1048,Jailbreak,Refusal,2.2157917,0
1151,Jailbreak,Refusal,1.3967209,0
1293,Benign,Benign,0.003162384,1
333,Benign,Refusal,0.9420557,0
1170,Refusal,Refusal,1.3601332,1
329,Jailbreak,Refusal,1.4090939,0
258,Benign,Jailbreak,2.246029,0
877,Jailbreak,Jailbreak,1.1477623,1
769,Benign,Jailbreak,0.55833054,0
120,Benign,Benign,7.8149204,1
128,Jailbreak,Refusal,1.0304298,0
1093,Jailbreak,Jailbreak,0.6966543,1
1214,Refusal,Refusal,2.7927914,1
524,Refusal,Refusal,1.7694302,1
1275,Jailbreak,Refusal,0.71912956,0
229,Refusal,Refusal,1.3499231,1
76,Benign,Benign,6.8505383,1
1261,Benign,Benign,2.9623642,1
620,Benign,Benign,6.5604095,1
1274,Jailbreak,Jailbreak,4.043049,1
964,Benign,Refusal,0.39133644,0
235,Jailbreak,Jailbreak,1.5223751,1
608,Refusal,Refusal,5.4330406,1
714,Jailbreak,Jailbreak,2.9180164,1
1362,Benign,Jailbreak,2.6477308,0
456,Benign,Benign,0.85580254,1
746,Benign,Benign,3.0838661,1
731,Refusal,Benign,0.29966164,0
1462,Refusal,Refusal,0.7236023,1
879,Benign,Benign,1.8241463,1
603,Jailbreak,Jailbreak,4.965002,1
1444,Benign,Benign,4.9181213,1
517,Jailbreak,Refusal,0.66146564,0
248,Refusal,Refusal,10.174276,1
721,Jailbreak,Jailbreak,0.9424677,1
138,Benign,Jailbreak,1.4038792,0
637,Refusal,Refusal,0.7238798,1
1021,Refusal,Jailbreak,3.5508938,0
789,Refusal,Jailbreak,1.2802801,0
352,Refusal,Refusal,2.5512295,1
365,Jailbreak,Benign,0.45853806,0
91,Jailbreak,Refusal,1.0072374,0
690,Refusal,Refusal,3.8529596,1
693,Jailbreak,Refusal,2.459611,0
1067,Jailbreak,Refusal,1.7651539,0
1071,Jailbreak,Jailbreak,0.065276146,1
1020,Benign,Benign,1.2783184,1
1277,Jailbreak,Refusal,1.307931,0
1197,Jailbreak,Benign,2.9031925,0
550,Jailbreak,Jailbreak,4.001069,1
652,Jailbreak,Jailbreak,5.4224625,1
1392,Refusal,Jailbreak,0.5829754,0
1226,Jailbreak,Refusal,1.0428448,0
1011,Jailbreak,Refusal,1.2065477,0
1007,Jailbreak,Jailbreak,0.5043659,1
292,Benign,Jailbreak,1.3730259,0
1460,Jailbreak,Benign,0.023918152,0
316,Jailbreak,Jailbreak,2.3873367,1
1442,Benign,Benign,1.0362759,1
919,Benign,Benign,5.7727127,1
1090,Refusal,Benign,1.9031353,0
573,Jailbreak,Jailbreak,5.4058456,1
116,Refusal,Benign,0.70962524,0
1340,Benign,Jailbreak,2.0700617,0
625,Refusal,Refusal,2.215372,1
1032,Refusal,Refusal,3.4218597,1
1045,Jailbreak,Refusal,1.833683,0
1356,Refusal,Refusal,7.9430504,1
1452,Refusal,Refusal,1.4223156,1
1360,Refusal,Refusal,5.6835613,1
1399,Benign,Benign,5.2545147,1
213,Benign,Jailbreak,4.525028,0
240,Jailbreak,Jailbreak,3.0986252,1
1044,Benign,Refusal,1.3770714,0
980,Refusal,Jailbreak,7.0660343,0
350,Benign,Benign,4.6910744,1
794,Refusal,Refusal,0.7247162,1
242,Refusal,Refusal,2.440672,1
751,Refusal,Benign,0.79091835,0
1457,Benign,Benign,0.31331253,1
902,Jailbreak,Refusal,2.3439474,0
1133,Refusal,Benign,0.15479183,0
461,Jailbreak,Refusal,0.32349586,0
114,Jailbreak,Jailbreak,4.270191,1
241,Refusal,Refusal,3.506565,1
522,Refusal,Refusal,5.616068,1
1276,Refusal,Jailbreak,1.8042011,0
1396,Refusal,Benign,2.4947243,0
1060,Jailbreak,Refusal,0.49025536,0
61,Benign,Jailbreak,3.3010406,0
466,Benign,Benign,0.5577755,1
1194,Jailbreak,Jailbreak,2.528799,1
1491,Refusal,Benign,0.93183136,0
906,Refusal,Jailbreak,4.0396423,0
1381,Benign,Benign,1.2265339,1
1390,Jailbreak,Refusal,1.7592096,0
781,Benign,Jailbreak,3.2310944,0
810,Refusal,Refusal,6.0505714,1
216,Refusal,Jailbreak,3.8058548,0
504,Benign,Benign,2.0931168,1
1087,Jailbreak,Jailbreak,4.1098557,1
80,Refusal,Refusal,5.0961494,1
1091,Benign,Benign,4.5611076,1
1306,Jailbreak,Refusal,2.2512379,0
1280,Jailbreak,Refusal,1.7118301,0
572,Benign,Jailbreak,0.95258904,0
252,Benign,Jailbreak,1.6454849,0
31,Refusal,Refusal,2.1626606,1
379,Jailbreak,Jailbreak,3.6354055,1
640,Jailbreak,Jailbreak,2.4280453,1
566,Benign,Jailbreak,0.9012203,0
151,Benign,Jailbreak,1.8196793,0
961,Benign,Benign,2.4886608,1
941,Refusal,Refusal,0.056232452,1
1121,Jailbreak,Refusal,1.1159744,0
602,Benign,Benign,3.3586102,1
1236,Refusal,Benign,0.2135315,0
19,Jailbreak,Refusal,5.1610737,0
354,Refusal,Jailbreak,0.30072498,0
1231,Refusal,Jailbreak,0.94646835,0
1112,Jailbreak,Benign,7.0118732,0
1290,Refusal,Refusal,0.9041176,1
388,Benign,Jailbreak,1.6023197,0
1134,Refusal,Jailbreak,0.060421944,0
614,Jailbreak,Benign,2.7680054,0
255,Benign,Refusal,1.523737,0
530,Jailbreak,Jailbreak,3.7464113,1
314,Refusal,Refusal,4.1489506,1
713,Refusal,Refusal,1.2445383,1
643,Refusal,Refusal,3.6017723,1
1066,Refusal,Refusal,4.9231853,1
1437,Jailbreak,Jailbreak,0.36380386,1
1405,Benign,Refusal,1.6432877,0
1364,Jailbreak,Jailbreak,3.216795,1
260,Refusal,Refusal,2.5081959,1
808,Benign,Jailbreak,4.5917397,0
1374,Benign,Refusal,2.3230286,0
264,Benign,Jailbreak,2.7920856,0
909,Refusal,Refusal,4.8466454,1
0,Benign,Refusal,0.45794487,0
1153,Refusal,Refusal,2.2967377,1
744,Jailbreak,Refusal,0.35191917,0
196,Refusal,Refusal,0.8379984,1
993,Benign,Jailbreak,1.2105484,0
378,Jailbreak,Jailbreak,0.77441883,1
