model,model_id,run_id,hidden_dim_raw,layer,frame,pns_file,pns_sha256,n_rows,n_dims,dtype,bytes,labels_file,labels_sha256,n_Refusal,n_Jailbreak,n_Benign,covariance_estimator,rawpca_available,consumed_by,results_in,sites_file,sites_sha256,sites_match
Qwen2.5-3B-Instruct,C:\Users\ethan\models\Qwen2.5-3B-Instruct,20260823T184503Z,2048,2,pns,experiment1/data/pns_layer2.npy,d7672d6ca137,1500,9,float64,108128,experiment1/data/labels.csv,1b5c19097d3c,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,,,no_sites_file
Qwen2.5-3B-Instruct,C:\Users\ethan\models\Qwen2.5-3B-Instruct,20260823T184503Z,2048,4,pns,experiment1/data/pns_layer4.npy,ff4a4b75c7cd,1500,9,float64,108128,experiment1/data/labels.csv,1b5c19097d3c,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,,,no_sites_file
Qwen2.5-3B-Instruct,C:\Users\ethan\models\Qwen2.5-3B-Instruct,20260823T184503Z,2048,6,pns,experiment1/data/pns_layer6.npy,52e673164eed,1500,9,float64,108128,experiment1/data/labels.csv,1b5c19097d3c,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,,,no_sites_file
Qwen2.5-3B-Instruct,C:\Users\ethan\models\Qwen2.5-3B-Instruct,20260823T184503Z,2048,8,pns,experiment1/data/pns_layer8.npy,3989147c02fa,1500,9,float64,108128,experiment1/data/labels.csv,1b5c19097d3c,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,,,no_sites_file
Qwen2.5-3B-Instruct,C:\Users\ethan\models\Qwen2.5-3B-Instruct,20260823T184503Z,2048,10,pns,experiment1/data/pns_layer10.npy,f2bfef67d0f7,1500,9,float64,108128,experiment1/data/labels.csv,1b5c19097d3c,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,,,no_sites_file
Qwen2.5-3B-Instruct,C:\Users\ethan\models\Qwen2.5-3B-Instruct,20260823T184503Z,2048,12,pns,experiment1/data/pns_layer12.npy,8ebed0bdf9fd,1500,9,float64,108128,experiment1/data/labels.csv,1b5c19097d3c,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,,,no_sites_file
Qwen2.5-3B-Instruct,C:\Users\ethan\models\Qwen2.5-3B-Instruct,20260823T184503Z,2048,14,pns,experiment1/data/pns_layer14.npy,5c3f853f8929,1500,9,float64,108128,experiment1/data/labels.csv,1b5c19097d3c,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,,,no_sites_file
Qwen2.5-3B-Instruct,C:\Users\ethan\models\Qwen2.5-3B-Instruct,20260823T184503Z,2048,16,pns,experiment1/data/pns_layer16.npy,78022dbad220,1500,9,float64,108128,experiment1/data/labels.csv,1b5c19097d3c,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,,,no_sites_file
Qwen2.5-3B-Instruct,C:\Users\ethan\models\Qwen2.5-3B-Instruct,20260823T184503Z,2048,18,pns,experiment1/data/pns_layer18.npy,45ed82b28cf8,1500,9,float64,108128,experiment1/data/labels.csv,1b5c19097d3c,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,,,no_sites_file
Qwen2.5-3B-Instruct,C:\Users\ethan\models\Qwen2.5-3B-Instruct,20260823T184503Z,2048,20,pns,experiment1/data/pns_layer20.npy,7699676aeddc,1500,9,float64,108128,experiment1/data/labels.csv,1b5c19097d3c,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,,,no_sites_file
Qwen2.5-3B-Instruct,C:\Users\ethan\models\Qwen2.5-3B-Instruct,20260823T184503Z,2048,22,pns,experiment1/data/pns_layer22.npy,695a54139607,1500,9,float64,108128,experiment1/data/labels.csv,1b5c19097d3c,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,,,no_sites_file
Qwen2.5-3B-Instruct,C:\Users\ethan\models\Qwen2.5-3B-Instruct,20260823T184503Z,2048,24,pns,experiment1/data/pns_layer24.npy,9707e4c75414,1500,9,float64,108128,experiment1/data/labels.csv,1b5c19097d3c,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,,,no_sites_file
Qwen2.5-3B-Instruct,C:\Users\ethan\models\Qwen2.5-3B-Instruct,20260823T184503Z,2048,26,pns,experiment1/data/pns_layer26.npy,971ba3a41ac1,1500,9,float64,108128,experiment1/data/labels.csv,1b5c19097d3c,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,,,no_sites_file
Qwen2.5-3B-Instruct,C:\Users\ethan\models\Qwen2.5-3B-Instruct,20260823T184503Z,2048,28,pns,experiment1/data/pns_layer28.npy,45a6192c096a,1500,9,float64,108128,experiment1/data/labels.csv,1b5c19097d3c,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,,,no_sites_file
Qwen2.5-3B-Instruct,C:\Users\ethan\models\Qwen2.5-3B-Instruct,20260823T184503Z,2048,30,pns,experiment1/data/pns_layer30.npy,0753e54f3f6e,1500,9,float64,108128,experiment1/data/labels.csv,1b5c19097d3c,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,experiment1/data/sites_layer30.npz,ed3bd05a995d,matched
Qwen2.5-3B-Instruct,C:\Users\ethan\models\Qwen2.5-3B-Instruct,20260823T184503Z,2048,32,pns,experiment1/data/pns_layer32.npy,94734e80a427,1500,9,float64,108128,experiment1/data/labels.csv,1b5c19097d3c,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,,,no_sites_file
Qwen2.5-3B-Instruct,C:\Users\ethan\models\Qwen2.5-3B-Instruct,20260823T184503Z,2048,34,pns,experiment1/data/pns_layer34.npy,471db87127d2,1500,9,float64,108128,experiment1/data/labels.csv,1b5c19097d3c,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,,,no_sites_file
Qwen2.5-3B-Instruct,C:\Users\ethan\models\Qwen2.5-3B-Instruct,20260823T184503Z,2048,36,pns,experiment1/data/pns_layer36.npy,5226fe1a4904,1500,9,float64,108128,experiment1/data/labels.csv,1b5c19097d3c,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,,,no_sites_file
Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,20260826T020142Z,4096,2,pns,experiment1/data/runs/Llama-3.1-8B-Instruct/pns_layer2.npy,9da49f5dd7f5,1500,9,float64,108128,experiment1/data/runs/Llama-3.1-8B-Instruct/labels.csv,0076e7a1554a,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,experiment1/data/runs/Llama-3.1-8B-Instruct/sites_layer2.npz,3f1598b5166b,matched
Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,20260826T020142Z,4096,4,pns,experiment1/data/runs/Llama-3.1-8B-Instruct/pns_layer4.npy,e05a476e37ff,1500,9,float64,108128,experiment1/data/runs/Llama-3.1-8B-Instruct/labels.csv,0076e7a1554a,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,experiment1/data/runs/Llama-3.1-8B-Instruct/sites_layer4.npz,fc09c87b85fa,matched
Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,20260826T020142Z,4096,6,pns,experiment1/data/runs/Llama-3.1-8B-Instruct/pns_layer6.npy,ceb435ee64f2,1500,9,float64,108128,experiment1/data/runs/Llama-3.1-8B-Instruct/labels.csv,0076e7a1554a,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,experiment1/data/runs/Llama-3.1-8B-Instruct/sites_layer6.npz,3c14b8f61602,matched
Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,20260826T020142Z,4096,8,pns,experiment1/data/runs/Llama-3.1-8B-Instruct/pns_layer8.npy,031ad31b16cf,1500,9,float64,108128,experiment1/data/runs/Llama-3.1-8B-Instruct/labels.csv,0076e7a1554a,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,experiment1/data/runs/Llama-3.1-8B-Instruct/sites_layer8.npz,cc48f413776d,matched
Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,20260826T020142Z,4096,10,pns,experiment1/data/runs/Llama-3.1-8B-Instruct/pns_layer10.npy,666438676c3a,1500,9,float64,108128,experiment1/data/runs/Llama-3.1-8B-Instruct/labels.csv,0076e7a1554a,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,experiment1/data/runs/Llama-3.1-8B-Instruct/sites_layer10.npz,0001d656d9ac,matched
Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,20260826T020142Z,4096,12,pns,experiment1/data/runs/Llama-3.1-8B-Instruct/pns_layer12.npy,66719e075253,1500,9,float64,108128,experiment1/data/runs/Llama-3.1-8B-Instruct/labels.csv,0076e7a1554a,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,experiment1/data/runs/Llama-3.1-8B-Instruct/sites_layer12.npz,f750d72a5235,matched
Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,20260826T020142Z,4096,14,pns,experiment1/data/runs/Llama-3.1-8B-Instruct/pns_layer14.npy,3035b854d5e5,1500,9,float64,108128,experiment1/data/runs/Llama-3.1-8B-Instruct/labels.csv,0076e7a1554a,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,experiment1/data/runs/Llama-3.1-8B-Instruct/sites_layer14.npz,fabe78b975c6,matched
Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,20260826T020142Z,4096,16,pns,experiment1/data/runs/Llama-3.1-8B-Instruct/pns_layer16.npy,c6d8f40cb9f6,1500,9,float64,108128,experiment1/data/runs/Llama-3.1-8B-Instruct/labels.csv,0076e7a1554a,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,experiment1/data/runs/Llama-3.1-8B-Instruct/sites_layer16.npz,372041d90cef,matched
Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,20260826T020142Z,4096,18,pns,experiment1/data/runs/Llama-3.1-8B-Instruct/pns_layer18.npy,055d8fe296cf,1500,9,float64,108128,experiment1/data/runs/Llama-3.1-8B-Instruct/labels.csv,0076e7a1554a,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,experiment1/data/runs/Llama-3.1-8B-Instruct/sites_layer18.npz,acb5b072f0bc,matched
Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,20260826T020142Z,4096,20,pns,experiment1/data/runs/Llama-3.1-8B-Instruct/pns_layer20.npy,61cc32f6deae,1500,9,float64,108128,experiment1/data/runs/Llama-3.1-8B-Instruct/labels.csv,0076e7a1554a,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,experiment1/data/runs/Llama-3.1-8B-Instruct/sites_layer20.npz,e622a2068ef3,matched
Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,20260826T020142Z,4096,22,pns,experiment1/data/runs/Llama-3.1-8B-Instruct/pns_layer22.npy,9b1f6f5a7833,1500,9,float64,108128,experiment1/data/runs/Llama-3.1-8B-Instruct/labels.csv,0076e7a1554a,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,experiment1/data/runs/Llama-3.1-8B-Instruct/sites_layer22.npz,58863abb7190,matched
Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,20260826T020142Z,4096,24,pns,experiment1/data/runs/Llama-3.1-8B-Instruct/pns_layer24.npy,d435dabef4c9,1500,9,float64,108128,experiment1/data/runs/Llama-3.1-8B-Instruct/labels.csv,0076e7a1554a,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,experiment1/data/runs/Llama-3.1-8B-Instruct/sites_layer24.npz,92bb9abe5e83,matched
