model,layer,frame,pair,rho_before,rho_after,rho_delta,d_b_before,d_b_after,d_b_retained,d_mean_before,d_mean_after,d_disp_before,d_disp_after,delta_before,delta_after,frame_variance_removed
Qwen2.5-3B-Instruct,2,pns,Jailbreak_vs_Benign,0.6976352804041653,0.6958588478729701,-0.0017764325311951934,0.26412528731917456,0.2625646227689285,0.9940911960150179,0.07986216843843147,0.07985670687674092,0.1842631188807431,0.1827079158921876,-0.6257071513142611,-0.2518591952885189,0.8002238949528929
Qwen2.5-3B-Instruct,2,pns,Jailbreak_vs_Refusal,0.7349361316148701,0.7796394989784806,0.04470336736361047,0.19118659227621063,0.1250938381463566,0.6543023580107089,0.050676657732102975,0.02756574084863601,0.14050993454410765,0.0975280972977206,-0.6257071513142611,-0.2518591952885189,0.8002238949528929
Qwen2.5-3B-Instruct,4,pns,Jailbreak_vs_Benign,0.6085476073090597,0.753587162903025,0.1450395555939653,0.27684809040510994,0.19542644016486538,0.7058977357542875,0.10837284740099808,0.048155583564786726,0.16847524300411187,0.14727085660007866,-0.4990324959119186,-0.4267458185528366,0.509829006832861
Qwen2.5-3B-Instruct,4,pns,Jailbreak_vs_Refusal,0.8815467216838789,0.9127927231697929,0.031246001485913943,0.17994776457217268,0.16005724743821464,0.8894650501424793,0.0213154026392314,0.013958156686025344,0.15863236193294128,0.1460990907521893,-0.4990324959119186,-0.4267458185528366,0.509829006832861
Qwen2.5-3B-Instruct,6,pns,Jailbreak_vs_Benign,0.6187660418013684,0.6520688183133531,0.033302776511984655,0.24834131223592532,0.1930092050604217,0.7771933043385957,0.09467614144794406,0.06715392079307289,0.15366517078798125,0.12585528426734882,-0.44231859237008425,-0.25433411975581494,0.7174577889179774
Qwen2.5-3B-Instruct,6,pns,Jailbreak_vs_Refusal,0.7831017701595777,0.8608746410586446,0.07777287089906693,0.17067961930234082,0.1311126286325124,0.7681797578904855,0.037020107296514886,0.01824109152024292,0.13365951200582593,0.1128715371122695,-0.44231859237008425,-0.25433411975581494,0.7174577889179774
Qwen2.5-3B-Instruct,8,pns,Jailbreak_vs_Benign,0.6015872814292696,0.6706854869753768,0.06909820554610713,0.24587213214901502,0.1893299256058909,0.7700340984196788,0.09795858459027093,0.06234909225189213,0.14791354755874409,0.1269808333539988,-0.38021128115806224,-0.12670198498876115,0.6793597577841912
Qwen2.5-3B-Instruct,8,pns,Jailbreak_vs_Refusal,0.7416431949176835,0.8591414857822041,0.11749829086452057,0.1673224743105669,0.12316446715966312,0.7360904006897352,0.04322889988134605,0.017348763848536675,0.12409357442922087,0.10581570331112644,-0.38021128115806224,-0.12670198498876115,0.6793597577841912
Qwen2.5-3B-Instruct,10,pns,Jailbreak_vs_Benign,0.6019699041410995,0.7738307477198397,0.1718608435787402,0.28452725612596863,0.2037656366842283,0.7161550687924788,0.11325041103028918,0.04608552168926271,0.17127684509567942,0.1576801149949656,-0.36250277340709836,-0.2973070116837754,0.2918196177033824
Qwen2.5-3B-Instruct,10,pns,Jailbreak_vs_Refusal,0.8513336688485592,0.9045667653209948,0.05323309647243557,0.18721758648792244,0.1493939965635239,0.7979698882250115,0.027832951710186998,0.014257152333681283,0.15938463477773546,0.13513684422984262,-0.36250277340709836,-0.2973070116837754,0.2918196177033824
Qwen2.5-3B-Instruct,12,pns,Jailbreak_vs_Benign,0.5538833911637157,0.7470354495382198,0.1931520583745041,0.3176321889739895,0.19335328170082774,0.6087332720446076,0.14170099500232203,0.04891152598575985,0.17593119397166745,0.1444417557150679,-0.3284990021276444,-0.23986361392766148,0.3638946222694116
Qwen2.5-3B-Instruct,12,pns,Jailbreak_vs_Refusal,0.8009995564656391,0.851780351007613,0.05078079454197382,0.1853377318637426,0.13562874961279334,0.7317924323823357,0.03688229084453722,0.020102845660884588,0.14845544101920538,0.11552590395190876,-0.3284990021276444,-0.23986361392766148,0.3638946222694116
Qwen2.5-3B-Instruct,14,pns,Jailbreak_vs_Benign,0.5332071721135104,0.69282679222191,0.15961962010839958,0.3032852873464046,0.18466737093430236,0.6088899746837375,0.14157139693679474,0.05672486870183607,0.16171389040960982,0.12794250223246628,-0.34787224650005905,-0.25147906460876945,0.30246513961872246
Qwen2.5-3B-Instruct,14,pns,Jailbreak_vs_Refusal,0.7588044357881192,0.8226956683523329,0.0638912325642137,0.19336414849978578,0.12887927283368253,0.666510694115695,0.04663857489575572,0.022850853333013427,0.14672557360403005,0.1060284195006691,-0.34787224650005905,-0.25147906460876945,0.30246513961872246
Qwen2.5-3B-Instruct,16,pns,Jailbreak_vs_Benign,0.5378503840177015,0.6409084023578234,0.10305801834012196,0.2771559544104557,0.1650938750639632,0.5956713988524542,0.12808751789799952,0.059283823357656446,0.14906843651245616,0.10581005170630675,-0.4599919860854852,-0.29346538486620416,0.4832294538262806
Qwen2.5-3B-Instruct,16,pns,Jailbreak_vs_Refusal,0.7900041346237305,0.8477169868290565,0.05771285220532596,0.17063017845321307,0.11611401832306968,0.6805010659641796,0.03583163198358977,0.01768219258162319,0.1347985464696233,0.09843182574144649,-0.4599919860854852,-0.29346538486620416,0.4832294538262806
Qwen2.5-3B-Instruct,18,pns,Jailbreak_vs_Benign,0.5014944246596759,0.6791130001199177,0.17761857546024185,0.28133248424525337,0.16686780020342412,0.5931337813729184,0.1402458119206027,0.05354570778386576,0.14108667232465066,0.11332209241955837,-0.46250597135616583,-0.2543996066051487,0.6226491355932913
Qwen2.5-3B-Instruct,18,pns,Jailbreak_vs_Refusal,0.7870387783794976,0.8684300170689565,0.08139123868945886,0.1809305098716087,0.12330621896303469,0.6815114767019385,0.03853118241067816,0.01622339712425798,0.14239932746093054,0.10708282183877671,-0.46250597135616583,-0.2543996066051487,0.6226491355932913
Qwen2.5-3B-Instruct,20,pns,Jailbreak_vs_Benign,0.5261914470720951,0.6737914899283584,0.14760004285626327,0.4021839758545248,0.23976707282517537,0.5961626698720146,0.19055820761042389,0.07821405959053926,0.21162576824410095,0.1615530132346361,-0.5849564656432491,-0.5153751145680799,0.44357778429842176
