space,layer,detector,auc,auc_std
pns,2,linear_probe,0.70778,0.06403216066946359
pns,2,plain_voronoi,0.65836,0.03322978182293709
pns,2,lda,0.70636,0.06664711846734261
pns,2,qda,0.7267,0.04409389980484828
pns,2,power_single,0.65836,0.03322978182293709
pns,2,power_multi,0.5919,0.050280612565878686
pns,4,linear_probe,0.7374,0.051943084236498745
pns,4,plain_voronoi,0.59598,0.02983530794210108
pns,4,lda,0.73688,0.055276591790739044
pns,4,qda,0.7540199999999999,0.04984148472908892
pns,4,power_single,0.59598,0.02983530794210108
pns,4,power_multi,0.6282400000000001,0.015676045419684113
pns,6,linear_probe,0.7230000000000001,0.043641539844510566
pns,6,plain_voronoi,0.60652,0.02845905128425752
pns,6,lda,0.7241000000000001,0.04523007848766133
pns,6,qda,0.74278,0.05785127137755922
pns,6,power_single,0.60652,0.02845905128425752
pns,6,power_multi,0.6144000000000001,0.046098112759634706
pns,8,linear_probe,0.72566,0.05763771681806971
pns,8,plain_voronoi,0.61778,0.030986409924352348
pns,8,lda,0.7256,0.0593840045803582
pns,8,qda,0.7549800000000001,0.0420035903227331
pns,8,power_single,0.61778,0.030986409924352348
pns,8,power_multi,0.6218199999999999,0.051254166659892096
pns,10,linear_probe,0.7466999999999999,0.05540285191215338
pns,10,plain_voronoi,0.60576,0.03951681161227456
pns,10,lda,0.7462000000000001,0.055629057155411124
pns,10,qda,0.76704,0.04073919979577405
pns,10,power_single,0.60576,0.03951681161227456
pns,10,power_multi,0.653,0.02847152963927297
pns,12,linear_probe,0.7710000000000001,0.04413742176430339
pns,12,plain_voronoi,0.60092,0.051878720107573925
pns,12,lda,0.7694400000000001,0.047545035492677884
pns,12,qda,0.78174,0.04672779044637144
pns,12,power_single,0.60092,0.051878720107573925
pns,12,power_multi,0.7236,0.04047685758553895
pns,14,linear_probe,0.76492,0.0321095250665593
pns,14,plain_voronoi,0.6132799999999999,0.04252060206535187
pns,14,lda,0.7656000000000001,0.03219024697016162
pns,14,qda,0.76572,0.030215982525809072
pns,14,power_single,0.6132799999999999,0.04252060206535187
pns,14,power_multi,0.6533800000000001,0.016284397440494994
pns,16,linear_probe,0.7640399999999999,0.027559579096931082
pns,16,plain_voronoi,0.59988,0.022993077219023942
pns,16,lda,0.76326,0.02779004138176123
pns,16,qda,0.76778,0.0366688096343473
pns,16,power_single,0.59988,0.022993077219023942
pns,16,power_multi,0.67188,0.014800189187979996
pns,18,linear_probe,0.76692,0.043603275106349544
pns,18,plain_voronoi,0.58332,0.044110153026259126
pns,18,lda,0.76666,0.04482470747255357
pns,18,qda,0.77586,0.0540272005567566
pns,18,power_single,0.58332,0.044110153026259126
pns,18,power_multi,0.68788,0.05356694503142772
pns,20,linear_probe,0.8011000000000001,0.030722825390904415
pns,20,plain_voronoi,0.60234,0.04720108473329825
pns,20,lda,0.7999599999999999,0.03014973300047616
pns,20,qda,0.83346,0.03504668885929172
pns,20,power_single,0.60234,0.04720108473329825
pns,20,power_multi,0.7498400000000001,0.030263284686233263
pns,22,linear_probe,0.7755000000000001,0.038398541638973764
pns,22,plain_voronoi,0.61912,0.04893642406224634
pns,22,lda,0.7732599999999998,0.03801318718550186
pns,22,qda,0.8110800000000001,0.03978579646054606
pns,22,power_single,0.61912,0.04893642406224634
pns,22,power_multi,0.78278,0.03267129627057984
pns,24,linear_probe,0.6516200000000001,0.027639638203131367
pns,24,plain_voronoi,0.6138199999999999,0.0281884657262505
pns,24,lda,0.6514,0.02780309335307852
pns,24,qda,0.80214,0.034995291111805334
pns,24,power_single,0.6138199999999999,0.0281884657262505
pns,24,power_multi,0.7379999999999999,0.029026332872066376
pns,26,linear_probe,0.7146800000000001,0.02820974299776586
pns,26,plain_voronoi,0.61946,0.041290802850029416
pns,26,lda,0.7161200000000001,0.02701728335714011
pns,26,qda,0.81932,0.028599958041927234
pns,26,power_single,0.61946,0.041290802850029416
pns,26,power_multi,0.7798399999999999,0.028230380797998462
pns,28,linear_probe,0.7152800000000001,0.01970506533863817
pns,28,plain_voronoi,0.62418,0.06226624767881875
pns,28,lda,0.7163400000000001,0.018708564883496558
pns,28,qda,0.81526,0.030518230617124567
pns,28,power_single,0.62418,0.06226624767881875
pns,28,power_multi,0.7871600000000001,0.020069140489816745
pns,30,linear_probe,0.6930799999999999,0.01686314324199378
pns,30,plain_voronoi,0.6202200000000001,0.054109163734066316
pns,30,lda,0.6940199999999999,0.016578588600963572
pns,30,qda,0.80834,0.029034779145018504
pns,30,power_single,0.6202200000000001,0.054109163734066316
pns,30,power_multi,0.7703000000000001,0.039062206798899636
pns,32,linear_probe,0.71726,0.019874566661942556
pns,32,plain_voronoi,0.67038,0.04200330463189773
pns,32,lda,0.71746,0.01946017471658463
pns,32,qda,0.79926,0.025704832230535962
pns,32,power_single,0.67038,0.04200330463189773
pns,32,power_multi,0.7718800000000001,0.027725324164020102
pns,34,linear_probe,0.7414,0.021508881886327807
pns,34,plain_voronoi,0.6818000000000001,0.04500222216735525
pns,34,lda,0.7403199999999999,0.021363276902198334
pns,34,qda,0.81372,0.028198751745423075
pns,34,power_single,0.6818000000000001,0.04500222216735525
pns,34,power_multi,0.75488,0.015363775577637172
pns,36,linear_probe,0.77468,0.03769389340463522
pns,36,plain_voronoi,0.6603600000000001,0.03955768446206119
pns,36,lda,0.7724399999999999,0.03629339333818205
pns,36,qda,0.81056,0.02430774362214643
pns,36,power_single,0.6603600000000001,0.03955768446206119
pns,36,power_multi,0.7670199999999999,0.03515243377065094
