space,layer,detector,auc,auc_std
rawpca,2,linear_probe,0.74,0.054068586073615824
rawpca,2,plain_voronoi,0.6547799999999999,0.03562770831810547
rawpca,2,lda,0.73934,0.05448686447209088
rawpca,2,qda,0.7544600000000001,0.049875589219577146
rawpca,2,power_single,0.6547799999999999,0.03562770831810547
rawpca,2,power_multi,0.6467,0.01849529669943147
rawpca,4,linear_probe,0.7470600000000001,0.05234801237869495
rawpca,4,plain_voronoi,0.6680400000000001,0.0425342497288949
rawpca,4,lda,0.74652,0.05320166914674763
rawpca,4,qda,0.77444,0.05167748445890141
rawpca,4,power_single,0.6680400000000001,0.0425342497288949
rawpca,4,power_multi,0.67946,0.030048001597444134
rawpca,6,linear_probe,0.73502,0.04912499974554708
rawpca,6,plain_voronoi,0.6582800000000002,0.03946620833067198
rawpca,6,lda,0.73472,0.04963339198563802
rawpca,6,qda,0.7710600000000001,0.05036115963716491
rawpca,6,power_single,0.6582800000000002,0.03946620833067198
rawpca,6,power_multi,0.66902,0.01663194516585477
rawpca,8,linear_probe,0.73724,0.04766158201318959
rawpca,8,plain_voronoi,0.65306,0.03473739195737065
rawpca,8,lda,0.7375,0.04841342788937798
rawpca,8,qda,0.7758599999999999,0.045328560533067955
rawpca,8,power_single,0.65306,0.03473739195737065
rawpca,8,power_multi,0.6563399999999999,0.03980204014871604
rawpca,10,linear_probe,0.7589400000000001,0.039294712112445875
rawpca,10,plain_voronoi,0.6597,0.03436579694987449
rawpca,10,lda,0.75872,0.04056685346437408
rawpca,10,qda,0.7922200000000001,0.04159420151896175
rawpca,10,power_single,0.6597,0.03436579694987449
rawpca,10,power_multi,0.67092,0.032935294138659234
rawpca,12,linear_probe,0.77792,0.04183388100571111
rawpca,12,plain_voronoi,0.6631199999999999,0.0393794565731931
rawpca,12,lda,0.7777399999999999,0.043848676148773295
rawpca,12,qda,0.80894,0.03828694816775028
rawpca,12,power_single,0.6631199999999999,0.0393794565731931
rawpca,12,power_multi,0.7479799999999999,0.03398284272982474
rawpca,14,linear_probe,0.75308,0.03279709743254726
rawpca,14,plain_voronoi,0.6539799999999999,0.03770169226971116
rawpca,14,lda,0.75288,0.035076111529073424
