space,layer,class_label,n,d_fractal
pns,2,Refusal,500,1.7337746156860958
pns,2,Jailbreak,500,1.38838046127764
pns,2,Benign,500,1.3773639543037297
pns,4,Refusal,500,1.8082423933076932
pns,4,Jailbreak,500,1.3149630284586078
pns,4,Benign,500,1.468560968451293
pns,6,Refusal,500,1.8356902712787908
pns,6,Jailbreak,500,1.3412036043619617
pns,6,Benign,500,1.4631927574549248
pns,8,Refusal,500,1.7261212503703374
pns,8,Jailbreak,500,1.3067257782965165
pns,8,Benign,500,1.3805480778321335
pns,10,Refusal,500,1.795990710582819
pns,10,Jailbreak,500,1.289521414283263
pns,10,Benign,500,1.4278348405515449
pns,12,Refusal,500,1.724542149431511
pns,12,Jailbreak,500,1.2736438235697711
pns,12,Benign,500,1.3937995928033806
pns,14,Refusal,500,1.583902322743614
pns,14,Jailbreak,500,1.2695544486319386
pns,14,Benign,500,1.3723278031572634
pns,16,Refusal,500,1.685853037061268
pns,16,Jailbreak,500,1.3020217859826984
pns,16,Benign,500,1.3934404839344814
pns,18,Refusal,500,1.6797898040846015
pns,18,Jailbreak,500,1.32550779944275
pns,18,Benign,500,1.4132211642715231
pns,20,Refusal,500,1.7402109846855407
pns,20,Jailbreak,500,1.3789424433413793
pns,20,Benign,500,1.4007010086748837
pns,22,Refusal,500,1.66729901676773
pns,22,Jailbreak,500,1.3676674769493036
pns,22,Benign,500,1.3412832876253966
pns,24,Refusal,500,1.2002770315229887
pns,24,Jailbreak,500,1.659681699398816
pns,24,Benign,500,2.8692974872463033
pns,26,Refusal,500,1.2357742883920642
pns,26,Jailbreak,500,1.666925664016202
pns,26,Benign,500,2.895144356161872
pns,28,Refusal,500,1.3458908446459832
pns,28,Jailbreak,500,1.6803373419140069
pns,28,Benign,500,3.2500612796258155
pns,30,Refusal,500,1.2455932378182402
pns,30,Jailbreak,500,1.7176768662905244
pns,30,Benign,500,3.586918677207249
pns,32,Refusal,500,1.1529998400401722
pns,32,Jailbreak,500,1.7593720784514784
pns,32,Benign,500,3.5294602550867227
pns,34,Refusal,500,1.1435181168064765
pns,34,Jailbreak,500,1.7852430504980326
pns,34,Benign,500,3.7007446543754634
pns,36,Refusal,500,1.4262782004604317
pns,36,Jailbreak,500,1.856637671243954
pns,36,Benign,500,2.627253246434783
