space,layer,class_label,n,d_fractal
rawpca,2,Refusal,500,3.2452551311776205
rawpca,2,Jailbreak,500,2.8246244709590247
rawpca,2,Benign,500,2.873141148987071
rawpca,4,Refusal,500,5.590619243813063
rawpca,4,Jailbreak,500,4.252020863138599
rawpca,4,Benign,500,4.408003280630431
rawpca,6,Refusal,500,5.402878207180828
rawpca,6,Jailbreak,500,3.8789483833695444
rawpca,6,Benign,500,4.131169343604192
rawpca,8,Refusal,500,4.6248748745647665
rawpca,8,Jailbreak,500,3.6364026966880907
rawpca,8,Benign,500,3.7898205706252877
rawpca,10,Refusal,500,4.426830980521421
rawpca,10,Jailbreak,500,3.721554126936701
rawpca,10,Benign,500,3.8763868010084623
rawpca,12,Refusal,500,4.5696086933034135
rawpca,12,Jailbreak,500,3.319583605868928
rawpca,12,Benign,500,3.3914811384702443
rawpca,14,Refusal,500,4.223781590048532
rawpca,14,Jailbreak,500,3.462038380089413
rawpca,14,Benign,500,3.4357868409340258
rawpca,16,Refusal,500,4.45448501520832
rawpca,16,Jailbreak,500,3.4211624707332278
rawpca,16,Benign,500,3.317720268938193
rawpca,18,Refusal,500,4.651294788140977
rawpca,18,Jailbreak,500,3.736843051893539
rawpca,18,Benign,500,3.7269576646305467
rawpca,20,Refusal,500,5.216986293658544
rawpca,20,Jailbreak,500,3.9464690942538954
rawpca,20,Benign,500,4.013947978115213
rawpca,22,Refusal,500,4.429454973761464
rawpca,22,Jailbreak,500,3.4222194324821005
rawpca,22,Benign,500,3.8982557188820133
rawpca,24,Refusal,500,3.916019668871592
rawpca,24,Jailbreak,500,3.8397039360966243
rawpca,24,Benign,500,4.6421636631281915
rawpca,26,Refusal,500,4.24170474702443
rawpca,26,Jailbreak,500,3.941160327108708
rawpca,26,Benign,500,4.7075268955660325
rawpca,28,Refusal,500,4.619160362665579
rawpca,28,Jailbreak,500,4.395057014413495
rawpca,28,Benign,500,5.5458188866945095
rawpca,30,Refusal,500,4.701733769431199
rawpca,30,Jailbreak,500,4.891254499336114
rawpca,30,Benign,500,6.135983461473679
rawpca,32,Refusal,500,4.621962131815935
rawpca,32,Jailbreak,500,5.192912417865985
rawpca,32,Benign,500,6.4735106480771165
rawpca,34,Refusal,500,4.582276518530408
rawpca,34,Jailbreak,500,5.586921577829356
rawpca,34,Benign,500,6.810997616809406
rawpca,36,Refusal,500,5.178332607794348
rawpca,36,Jailbreak,500,6.039896015644232
rawpca,36,Benign,500,5.5925931409078515
