space,layer,detector,auc,auc_std
pns,2,linear_probe,0.73824,0.019447323723330134
pns,2,plain_voronoi,0.62828,0.03567017802030148
pns,2,lda,0.7395400000000001,0.018680749449633972
pns,2,qda,0.75186,0.013875676560081669
pns,2,power_single,0.62828,0.03567017802030148
pns,2,power_multi,0.5730600000000001,0.038542060142135626
pns,4,linear_probe,0.7520600000000001,0.017085268508279308
pns,4,plain_voronoi,0.6446000000000001,0.034074741378328936
pns,4,lda,0.75194,0.018164867189164935
pns,4,qda,0.7548799999999999,0.025354321130726408
pns,4,power_single,0.6446000000000001,0.034074741378328936
pns,4,power_multi,0.65132,0.032033382587544554
pns,6,linear_probe,0.7639199999999999,0.017077400270532953
pns,6,plain_voronoi,0.59326,0.07163570618064707
pns,6,lda,0.76216,0.014651907725617171
pns,6,qda,0.77988,0.02042208608345391
pns,6,power_single,0.59326,0.07163570618064707
pns,6,power_multi,0.68742,0.036093290235167025
pns,8,linear_probe,0.7971999999999999,0.021423258388956593
pns,8,plain_voronoi,0.6219800000000001,0.04881353910545718
pns,8,lda,0.7950799999999999,0.021475045983652772
pns,8,qda,0.8035800000000002,0.019617481999481982
pns,8,power_single,0.6219800000000001,0.04881353910545718
pns,8,power_multi,0.70976,0.01290652548132143
pns,10,linear_probe,0.8005799999999998,0.007312017505449497
pns,10,plain_voronoi,0.6271000000000001,0.041971561800819346
pns,10,lda,0.79798,0.005367084869833917
pns,10,qda,0.82792,0.011650304717044988
pns,10,power_single,0.6271000000000001,0.041971561800819346
pns,10,power_multi,0.71724,0.03188181927054985
pns,12,linear_probe,0.6935199999999999,0.019188058786651693
pns,12,plain_voronoi,0.6668200000000001,0.015557429093523098
pns,12,lda,0.6919000000000001,0.01875569246922117
pns,12,qda,0.8175000000000001,0.022823671921932322
pns,12,power_single,0.6668200000000001,0.015557429093523098
pns,12,power_multi,0.76718,0.02398928093961967
pns,14,linear_probe,0.68588,0.0315643089580621
pns,14,plain_voronoi,0.6470400000000001,0.022258355734420247
pns,14,lda,0.6859200000000001,0.030928394720709317
pns,14,qda,0.81274,0.02166994231648991
pns,14,power_single,0.6470400000000001,0.022258355734420247
pns,14,power_multi,0.7573399999999999,0.0247829457490428
pns,16,linear_probe,0.72568,0.03629845175761632
pns,16,plain_voronoi,0.658,0.021561076039938298
pns,16,lda,0.7249800000000001,0.03634575078327587
pns,16,qda,0.8231799999999998,0.014033303246206913
pns,16,power_single,0.658,0.021561076039938298
pns,16,power_multi,0.7433799999999999,0.04639678437133333
pns,18,linear_probe,0.7779999999999999,0.044040753853675105
pns,18,plain_voronoi,0.68578,0.023975771103345134
pns,18,lda,0.77452,0.04458149391844111
pns,18,qda,0.8404399999999999,0.018171692271222308
pns,18,power_single,0.68578,0.023975771103345134
pns,18,power_multi,0.76716,0.052408381009147804
pns,20,linear_probe,0.78124,0.04521484711906031
pns,20,plain_voronoi,0.6833199999999999,0.02789734037502503
pns,20,lda,0.7789400000000001,0.045258130761223384
pns,20,qda,0.84202,0.023400803405011536
pns,20,power_single,0.6833199999999999,0.02789734037502503
pns,20,power_multi,0.74406,0.04270393892839396
pns,22,linear_probe,0.8181,0.042729053347810096
pns,22,plain_voronoi,0.70414,0.03593675555750686
pns,22,lda,0.81526,0.04506016422517786
pns,22,qda,0.8381400000000001,0.025577615213307085
pns,22,power_single,0.70414,0.03593675555750686
pns,22,power_multi,0.76168,0.049283766089859606
pns,24,linear_probe,0.8048599999999999,0.03994198793250031
pns,24,plain_voronoi,0.7020200000000001,0.03316295523622708
pns,24,lda,0.8029999999999999,0.04059226527307879
pns,24,qda,0.8457399999999999,0.019287363738987248
pns,24,power_single,0.7020200000000001,0.03316295523622708
pns,24,power_multi,0.76322,0.025715785035654647
pns,26,linear_probe,0.8232799999999999,0.041235586572764986
pns,26,plain_voronoi,0.71136,0.05016762302521417
pns,26,lda,0.82216,0.041031919282431835
pns,26,qda,0.8362400000000001,0.017131211282334954
pns,26,power_single,0.71136,0.05016762302521417
pns,26,power_multi,0.77652,0.023560339556126915
pns,28,linear_probe,0.8551400000000001,0.025717433775553925
pns,28,plain_voronoi,0.7454000000000001,0.025325560210980504
pns,28,lda,0.85368,0.02592168204418846
pns,28,qda,0.8608999999999998,0.014541664278891928
pns,28,power_single,0.7454000000000001,0.025325560210980504
pns,28,power_multi,0.7543799999999999,0.030303491548004855
pns,30,linear_probe,0.8125399999999999,0.03491518867198061
pns,30,plain_voronoi,0.6931200000000001,0.028255788787432567
pns,30,lda,0.81188,0.034702414901559814
pns,30,qda,0.84952,0.010606300014613962
pns,30,power_single,0.6931200000000001,0.028255788787432567
pns,30,power_multi,0.7552199999999999,0.0342415770664845
pns,32,linear_probe,0.8147800000000001,0.03274595547544767
pns,32,plain_voronoi,0.6911600000000001,0.02362165108539195
pns,32,lda,0.8137800000000001,0.03270610952100543
pns,32,qda,0.85318,0.018864824409466418
pns,32,power_single,0.6911600000000001,0.02362165108539195
pns,32,power_multi,0.7567,0.026924486996041296
