space,layer,detector,auc,auc_std
rawpca,2,linear_probe,0.7573000000000001,0.027958039988525682
rawpca,2,plain_voronoi,0.65536,0.027619746559300627
rawpca,2,lda,0.77416,0.02451461604839041
rawpca,2,qda,0.7633000000000001,0.012197868666287586
rawpca,2,power_single,0.65536,0.027619746559300627
rawpca,2,power_multi,0.5998,0.030058942097153065
rawpca,4,linear_probe,0.7779200000000001,0.02369163565480441
rawpca,4,plain_voronoi,0.67264,0.03053925997793653
rawpca,4,lda,0.77946,0.022604831341994144
rawpca,4,qda,0.77844,0.027170322044466084
rawpca,4,power_single,0.67264,0.03053925997793653
rawpca,4,power_multi,0.6881799999999999,0.02596824214304846
rawpca,6,linear_probe,0.79238,0.013797014169739804
rawpca,6,plain_voronoi,0.69756,0.03476006904481059
rawpca,6,lda,0.7914,0.013759796510123285
rawpca,6,qda,0.78602,0.022474465510885926
rawpca,6,power_single,0.69756,0.03476006904481059
rawpca,6,power_multi,0.7299199999999999,0.017841793631807323
rawpca,8,linear_probe,0.83424,0.013334256634698517
rawpca,8,plain_voronoi,0.7468199999999999,0.02706934797884867
rawpca,8,lda,0.8341799999999999,0.012604665802789074
rawpca,8,qda,0.8182499999999999,0.01929253741735388
rawpca,8,power_single,0.7468199999999999,0.02706934797884867
rawpca,8,power_multi,0.7735199999999999,0.02293707915145252
rawpca,10,linear_probe,0.849,0.0111470175383373
rawpca,10,plain_voronoi,0.7558199999999999,0.02491853928303184
rawpca,10,lda,0.84368,0.015123147820477016
rawpca,10,qda,0.8387,0.016138773187575273
rawpca,10,power_single,0.7558199999999999,0.02491853928303184
rawpca,10,power_multi,0.7709999999999999,0.006882732015704205
rawpca,12,linear_probe,0.8861000000000001,0.008421876275510066
rawpca,12,plain_voronoi,0.7782199999999999,0.02237546871017457
rawpca,12,lda,0.8760999999999999,0.01325428232685569
rawpca,12,qda,0.86524,0.012742778346969703
rawpca,12,power_single,0.7782199999999999,0.02237546871017457
rawpca,12,power_multi,0.80998,0.016658019089915807
rawpca,14,linear_probe,0.88092,0.005331941485050299
rawpca,14,plain_voronoi,0.7915800000000001,0.018720085469890364
rawpca,14,lda,0.8767000000000001,0.008096171934933213
rawpca,14,qda,0.868,0.013425945031914889
rawpca,14,power_single,0.7915800000000001,0.018720085469890364
rawpca,14,power_multi,0.826,0.030777654231601215
rawpca,16,linear_probe,0.88522,0.009855840907806892
rawpca,16,plain_voronoi,0.7954999999999999,0.012373035197557622
rawpca,16,lda,0.87904,0.011938107052627742
rawpca,16,qda,0.8689199999999999,0.006463249956484738
rawpca,16,power_single,0.7954999999999999,0.012373035197557622
rawpca,16,power_multi,0.7923399999999999,0.04065787008686023
rawpca,18,linear_probe,0.88742,0.018509824418400062
rawpca,18,plain_voronoi,0.81694,0.016793879837607526
rawpca,18,lda,0.8834799999999999,0.019166679420285635
rawpca,18,qda,0.8704400000000001,0.00998570978949424
rawpca,18,power_single,0.81694,0.016793879837607526
rawpca,18,power_multi,0.79754,0.038031281861120585
rawpca,20,linear_probe,0.8881599999999998,0.023430629526327254
rawpca,20,plain_voronoi,0.8252600000000001,0.01585504336165622
rawpca,20,lda,0.8850999999999999,0.0221940532575733
rawpca,20,qda,0.8685,0.01039999999999998
rawpca,20,power_single,0.8252600000000001,0.01585504336165622
rawpca,20,power_multi,0.7864800000000001,0.0412649197260821
rawpca,22,linear_probe,0.8924,0.022623085554362418
rawpca,22,plain_voronoi,0.83232,0.012704707788847426
rawpca,22,lda,0.8896599999999999,0.02190420964107126
rawpca,22,qda,0.87088,0.009605706637202682
rawpca,22,power_single,0.83232,0.012704707788847426
rawpca,22,power_multi,0.79496,0.01971705860416304
rawpca,24,linear_probe,0.8907,0.01946309327933253
rawpca,24,plain_voronoi,0.8381399999999999,0.011821607335722194
rawpca,24,lda,0.8872200000000001,0.02010307439174414
rawpca,24,qda,0.87202,0.006180420697654811
rawpca,24,power_single,0.8381399999999999,0.011821607335722194
rawpca,24,power_multi,0.82682,0.020937468805946904
rawpca,26,linear_probe,0.88734,0.020516198478275634
rawpca,26,plain_voronoi,0.8397200000000001,0.009694204454208747
rawpca,26,lda,0.88386,0.0215018696861459
rawpca,26,qda,0.8703799999999999,0.005743309150655169
rawpca,26,power_single,0.8397200000000001,0.009694204454208747
rawpca,26,power_multi,0.7995599999999999,0.014635928395561389
rawpca,28,linear_probe,0.88422,0.01728796112906322
rawpca,28,plain_voronoi,0.8429200000000001,0.008684100413974962
rawpca,28,lda,0.8803600000000001,0.018726943156852933
rawpca,28,qda,0.8681599999999999,0.0053794423502812804
rawpca,28,power_single,0.8429200000000001,0.008684100413974962
rawpca,28,power_multi,0.8138400000000001,0.020023146605865953
rawpca,30,linear_probe,0.8849,0.01661144183988855
rawpca,30,plain_voronoi,0.8366200000000001,0.01110646658483249
rawpca,30,lda,0.8809399999999998,0.018431668399794973
rawpca,30,qda,0.87148,0.006538317826474976
rawpca,30,power_single,0.8366200000000001,0.01110646658483249
rawpca,30,power_multi,0.8087799999999999,0.020453498478255464
rawpca,32,linear_probe,0.87626,0.02121627677044207
rawpca,32,plain_voronoi,0.84572,0.0148433688898444
rawpca,32,lda,0.8727600000000001,0.021805008598943524
rawpca,32,qda,0.86324,0.007688588947264609
rawpca,32,power_single,0.84572,0.0148433688898444
rawpca,32,power_multi,0.8257800000000002,0.010129837116163356
