space,layer,class_label,n,d_fractal
pns,2,Refusal,500,1.4889586841638014
pns,2,Jailbreak,500,1.251249970986567
pns,2,Benign,500,1.2763731340155848
pns,4,Refusal,500,1.7383004683426082
pns,4,Jailbreak,500,1.3449819061043424
pns,4,Benign,500,1.3564042123968396
pns,6,Refusal,500,1.6395518475582942
pns,6,Jailbreak,500,1.2503311021790815
pns,6,Benign,500,1.3571120462782267
pns,8,Refusal,500,1.7696021357527545
pns,8,Jailbreak,500,1.296462235486995
pns,8,Benign,500,1.3824848669081513
pns,10,Refusal,500,1.7919613701703765
pns,10,Jailbreak,500,1.3490276343987275
pns,10,Benign,500,1.4636066524578835
pns,12,Refusal,500,1.3648985979611834
pns,12,Jailbreak,500,1.6804768770616911
pns,12,Benign,500,2.6065312071847506
pns,14,Refusal,500,1.2469189961868345
pns,14,Jailbreak,500,1.9237031025152724
pns,14,Benign,500,3.2584636238752154
pns,16,Refusal,500,1.2446286911632498
pns,16,Jailbreak,500,2.2056332094922095
pns,16,Benign,500,3.5173814237746464
pns,18,Refusal,500,1.2303438898224617
pns,18,Jailbreak,500,2.244274653438626
pns,18,Benign,500,3.4460525880716966
pns,20,Refusal,500,1.3210284898813918
pns,20,Jailbreak,500,2.258722581277754
pns,20,Benign,500,3.4399707106581197
pns,22,Refusal,500,1.2339269108628053
pns,22,Jailbreak,500,2.2697624729753785
pns,22,Benign,500,2.6779680887838206
pns,24,Refusal,500,1.2180804021588445
pns,24,Jailbreak,500,2.3613322323288846
pns,24,Benign,500,3.3394665581633936
pns,26,Refusal,500,1.1542867127249077
pns,26,Jailbreak,500,2.250034255719819
pns,26,Benign,500,2.6288108707695095
pns,28,Refusal,500,1.422087964110762
pns,28,Jailbreak,500,2.311888017464039
pns,28,Benign,500,3.289064803687654
pns,30,Refusal,500,1.1951099135783916
pns,30,Jailbreak,500,2.24777737423009
pns,30,Benign,500,3.36165338847282
pns,32,Refusal,500,1.2839268167734288
pns,32,Jailbreak,500,2.2887847899596148
pns,32,Benign,500,4.488806779359578
