space,layer,class_label,n,d_fractal
rawpca,2,Refusal,500,3.4248804996705893
rawpca,2,Jailbreak,500,2.6490676514345854
rawpca,2,Benign,500,2.650709397117453
rawpca,4,Refusal,500,3.8269693364208504
rawpca,4,Jailbreak,500,2.7544412422271223
rawpca,4,Benign,500,3.008798065796258
rawpca,6,Refusal,500,4.623766540007231
rawpca,6,Jailbreak,500,3.509837047942073
rawpca,6,Benign,500,3.7080657362122893
rawpca,8,Refusal,500,5.440988701146449
rawpca,8,Jailbreak,500,4.361015207145439
rawpca,8,Benign,500,4.625049114121493
rawpca,10,Refusal,500,5.66168708895614
rawpca,10,Jailbreak,500,5.036756757146162
rawpca,10,Benign,500,5.280004962365095
rawpca,12,Refusal,500,4.531972016357714
rawpca,12,Jailbreak,500,4.724894302896014
rawpca,12,Benign,500,5.034114677104816
rawpca,14,Refusal,500,4.5515872662837165
rawpca,14,Jailbreak,500,4.947374979871389
rawpca,14,Benign,500,5.212666125379801
rawpca,16,Refusal,500,4.7137079948844525
rawpca,16,Jailbreak,500,5.787471395677912
rawpca,16,Benign,500,5.645923175437251
rawpca,18,Refusal,500,4.308962460244602
rawpca,18,Jailbreak,500,5.823437198685985
rawpca,18,Benign,500,5.726322725432189
rawpca,20,Refusal,500,4.124781819146546
rawpca,20,Jailbreak,500,5.857723622501708
rawpca,20,Benign,500,5.779229394816645
rawpca,22,Refusal,500,3.8547280607444043
rawpca,22,Jailbreak,500,6.047240899749931
rawpca,22,Benign,500,5.949609090884906
rawpca,24,Refusal,500,3.67648027888216
rawpca,24,Jailbreak,500,6.407000705630041
rawpca,24,Benign,500,6.010793464025771
rawpca,26,Refusal,500,3.5857874774980028
rawpca,26,Jailbreak,500,6.466487697494417
rawpca,26,Benign,500,5.845672579073422
rawpca,28,Refusal,500,3.6080184512062945
rawpca,28,Jailbreak,500,6.624953562706191
rawpca,28,Benign,500,5.771694079966486
rawpca,30,Refusal,500,3.778050057597281
rawpca,30,Jailbreak,500,6.846341531806696
rawpca,30,Benign,500,5.8196370477793655
rawpca,32,Refusal,500,4.105695002263316
rawpca,32,Jailbreak,500,6.600349010782082
rawpca,32,Benign,500,6.769735959850172
