space,layer,detector,auc,auc_std
pns,2,linear_probe,0.6808,0.016476285989263467
pns,2,plain_voronoi,0.61022,0.024131755012845646
pns,2,lda,0.6806,0.0157409021342489
pns,2,qda,0.7086400000000002,0.02759584026624303
pns,2,power_single,0.61022,0.024131755012845646
pns,2,power_multi,0.6356999999999999,0.024533079708833967
pns,4,linear_probe,0.7015399999999999,0.004388439358131802
pns,4,plain_voronoi,0.56698,0.021114772080228616
pns,4,lda,0.70154,0.004534578260433935
pns,4,qda,0.75282,0.03797459150537374
pns,4,power_single,0.56698,0.021114772080228616
pns,4,power_multi,0.6234400000000001,0.024976356820000788
pns,6,linear_probe,0.7721599999999998,0.01856810168003179
pns,6,plain_voronoi,0.6006199999999999,0.04871416221182499
pns,6,lda,0.77106,0.01893056787315161
pns,6,qda,0.7864599999999999,0.026918142580794783
pns,6,power_single,0.6006199999999999,0.04871416221182499
pns,6,power_multi,0.6275400000000001,0.018813250649475755
pns,8,linear_probe,0.71846,0.011639690717540506
pns,8,plain_voronoi,0.5795000000000001,0.03780682478071914
pns,8,lda,0.7180399999999999,0.01327291979935087
pns,8,qda,0.7456799999999999,0.02145492018162731
pns,8,power_single,0.5795000000000001,0.03780682478071914
pns,8,power_multi,0.60564,0.06724637090579684
pns,10,linear_probe,0.8026199999999999,0.014026175530058076
pns,10,plain_voronoi,0.6025799999999999,0.05310764163470265
pns,10,lda,0.8002800000000001,0.016287835952022593
pns,10,qda,0.8103199999999999,0.029005613249852208
pns,10,power_single,0.6025799999999999,0.05310764163470265
pns,10,power_multi,0.7032,0.0281944675424098
pns,12,linear_probe,0.8452399999999999,0.011284608987466053
pns,12,plain_voronoi,0.64208,0.04673231858146993
pns,12,lda,0.8448399999999999,0.010518669117336047
pns,12,qda,0.83454,0.029570092999515595
pns,12,power_single,0.64208,0.04673231858146993
pns,12,power_multi,0.77532,0.037518283542827456
pns,14,linear_probe,0.84704,0.011879158219335212
pns,14,plain_voronoi,0.7143400000000001,0.05648754198936256
pns,14,lda,0.8468199999999999,0.010666470831535593
pns,14,qda,0.85754,0.012815084861209478
pns,14,power_single,0.7143400000000001,0.05648754198936256
pns,14,power_multi,0.8103,0.022932684099337335
pns,16,linear_probe,0.8236800000000001,0.01765020113199852
pns,16,plain_voronoi,0.68432,0.06288495527548701
pns,16,lda,0.82144,0.01786735570810636
pns,16,qda,0.8483599999999999,0.021582733839808178
pns,16,power_single,0.68432,0.06288495527548701
pns,16,power_multi,0.7942,0.017802471738497486
pns,18,linear_probe,0.75458,0.03522864743358735
pns,18,plain_voronoi,0.59284,0.014354734410639641
pns,18,lda,0.75294,0.03564618352643097
pns,18,qda,0.8445600000000001,0.021330785264495083
pns,18,power_single,0.59284,0.014354734410639641
pns,18,power_multi,0.6873800000000001,0.028822727143696877
pns,20,linear_probe,0.76726,0.04013764317943945
pns,20,plain_voronoi,0.60688,0.019883500697814742
pns,20,lda,0.76678,0.038045257260268354
pns,20,qda,0.86384,0.01845996749726287
pns,20,power_single,0.60688,0.019883500697814742
pns,20,power_multi,0.6764,0.030645260645000245
pns,22,linear_probe,0.78948,0.03937320916562428
pns,22,plain_voronoi,0.62714,0.024098597469562385
pns,22,lda,0.78834,0.037564004046427166
pns,22,qda,0.861,0.016582159087404763
pns,22,power_single,0.62714,0.024098597469562385
pns,22,power_multi,0.7203000000000002,0.026714340718048797
pns,24,linear_probe,0.8015399999999999,0.032585370950780984
pns,24,plain_voronoi,0.64494,0.022631093654527635
pns,24,lda,0.7987200000000001,0.031216880049101642
pns,24,qda,0.8570799999999998,0.022097909403380217
pns,24,power_single,0.64494,0.022631093654527635
pns,24,power_multi,0.73498,0.01918096973565201
pns,26,linear_probe,0.81016,0.030419967126872442
pns,26,plain_voronoi,0.65912,0.024975780268091722
pns,26,lda,0.80604,0.031208562927504385
pns,26,qda,0.85734,0.02494462667589961
pns,26,power_single,0.65912,0.024975780268091722
pns,26,power_multi,0.67638,0.05637912379595833
pns,28,linear_probe,0.8337199999999999,0.029947647653864252
pns,28,plain_voronoi,0.6728799999999999,0.030402197289011803
pns,28,lda,0.8287799999999999,0.029694134100862423
pns,28,qda,0.8606999999999999,0.028627399462752466
pns,28,power_single,0.6728799999999999,0.030402197289011803
pns,28,power_multi,0.7618,0.06965707429974353
pns,30,linear_probe,0.83522,0.024305011828838978
pns,30,plain_voronoi,0.67804,0.0323659450657632
pns,30,lda,0.82772,0.027535388139628653
pns,30,qda,0.8509200000000001,0.028177324216468812
pns,30,power_single,0.67804,0.0323659450657632
pns,30,power_multi,0.80442,0.03879352523295607
pns,32,linear_probe,0.82872,0.03019863573077431
pns,32,plain_voronoi,0.6753,0.0416433908321597
pns,32,lda,0.8203400000000001,0.03476749056230543
pns,32,qda,0.83362,0.033399365263429806
pns,32,power_single,0.6753,0.0416433908321597
pns,32,power_multi,0.79118,0.018901788275187067
