space,layer,detector,auc,auc_std
rawpca,2,linear_probe,0.64134,0.020932329062959085
rawpca,2,plain_voronoi,0.62034,0.02551631634856411
rawpca,2,lda,0.67884,0.01785884654729973
rawpca,2,qda,0.7273400000000001,0.025946298387245905
rawpca,2,power_single,0.62034,0.02551631634856411
rawpca,2,power_multi,0.6892400000000001,0.05447684278663734
rawpca,4,linear_probe,0.6916599999999999,0.013676344540848592
rawpca,4,plain_voronoi,0.64212,0.012076986379059995
rawpca,4,lda,0.711,0.004095363231753664
rawpca,4,qda,0.76134,0.02455260474980204
rawpca,4,power_single,0.64212,0.012076986379059995
rawpca,4,power_multi,0.6245,0.051525876993992026
rawpca,6,linear_probe,0.771,0.018904285228487253
rawpca,6,plain_voronoi,0.6916800000000001,0.0361057557738375
rawpca,6,lda,0.7768599999999999,0.017409147021034667
rawpca,6,qda,0.79526,0.02043493087827801
rawpca,6,power_single,0.6916800000000001,0.0361057557738375
rawpca,6,power_multi,0.6919000000000001,0.022949422650689957
rawpca,8,linear_probe,0.7387,0.022694845229699116
rawpca,8,plain_voronoi,0.6829799999999999,0.03955185962758263
rawpca,8,lda,0.74236,0.021696506631252884
rawpca,8,qda,0.7618799999999999,0.01986719909801077
rawpca,8,power_single,0.6829799999999999,0.03955185962758263
rawpca,8,power_multi,0.67698,0.05815941540283913
rawpca,10,linear_probe,0.81662,0.010602150725206653
rawpca,10,plain_voronoi,0.7558199999999999,0.025833265376254702
rawpca,10,lda,0.81662,0.00882097500279866
rawpca,10,qda,0.8163,0.024602601488460548
rawpca,10,power_single,0.7558199999999999,0.025833265376254702
rawpca,10,power_multi,0.76912,0.048974826186521554
rawpca,12,linear_probe,0.88358,0.011353131726532533
rawpca,12,plain_voronoi,0.8398,0.016137533888422966
rawpca,12,lda,0.88064,0.010592563429123314
rawpca,12,qda,0.8586199999999999,0.019432488260642262
rawpca,12,power_single,0.8398,0.016137533888422966
rawpca,12,power_multi,0.79826,0.034010621870233404
rawpca,14,linear_probe,0.90212,0.012822542649568395
rawpca,14,plain_voronoi,0.8835200000000001,0.009569618592190557
rawpca,14,lda,0.89516,0.011311162628129787
rawpca,14,qda,0.8799999999999999,0.012170784691218557
rawpca,14,power_single,0.8835200000000001,0.009569618592190557
rawpca,14,power_multi,0.83208,0.030599176459506206
rawpca,16,linear_probe,0.89868,0.01226089719392508
rawpca,16,plain_voronoi,0.8814399999999999,0.012058291752980604
rawpca,16,lda,0.8961,0.009906159699903959
rawpca,16,qda,0.8942399999999999,0.005715102798725464
rawpca,16,power_single,0.8814399999999999,0.012058291752980604
rawpca,16,power_multi,0.84598,0.027670880000462576
rawpca,18,linear_probe,0.8836999999999999,0.015191444960898255
rawpca,18,plain_voronoi,0.87036,0.014904039720827334
rawpca,18,lda,0.8807,0.013243413457262392
rawpca,18,qda,0.8832799999999998,0.004900775448844826
rawpca,18,power_single,0.87036,0.014904039720827334
rawpca,18,power_multi,0.81196,0.016903206796344866
rawpca,20,linear_probe,0.8960800000000001,0.01778082112839564
rawpca,20,plain_voronoi,0.8731200000000001,0.01590941859402787
rawpca,20,lda,0.8926999999999999,0.015055763016200811
rawpca,20,qda,0.8903000000000001,0.004486869732898452
rawpca,20,power_single,0.8731200000000001,0.01590941859402787
rawpca,20,power_multi,0.8429800000000001,0.015518298875843328
rawpca,22,linear_probe,0.9007399999999999,0.017398689605829507
rawpca,22,plain_voronoi,0.87446,0.016786971138356085
rawpca,22,lda,0.8985200000000001,0.015373145416602287
rawpca,22,qda,0.8900599999999999,0.007818081606123056
rawpca,22,power_single,0.87446,0.016786971138356085
rawpca,22,power_multi,0.84834,0.015129520811975501
rawpca,24,linear_probe,0.89786,0.015455562105598114
rawpca,24,plain_voronoi,0.86684,0.01483975741041614
rawpca,24,lda,0.89558,0.013661098052499272
rawpca,24,qda,0.8881399999999999,0.00920491173233072
rawpca,24,power_single,0.86684,0.01483975741041614
rawpca,24,power_multi,0.84274,0.009713619304872897
rawpca,26,linear_probe,0.89714,0.01623682234921604
rawpca,26,plain_voronoi,0.85892,0.016992398300416538
rawpca,26,lda,0.8949400000000001,0.015439248686383671
rawpca,26,qda,0.8906799999999999,0.008684561013660958
rawpca,26,power_single,0.85892,0.016992398300416538
rawpca,26,power_multi,0.8500400000000001,0.011684280037725857
rawpca,28,linear_probe,0.90352,0.013370774098757306
rawpca,28,plain_voronoi,0.85998,0.016672780212070217
rawpca,28,lda,0.90168,0.012187600255997914
rawpca,28,qda,0.89172,0.009956987496225957
rawpca,28,power_single,0.85998,0.016672780212070217
rawpca,28,power_multi,0.86464,0.010025088528287464
rawpca,30,linear_probe,0.8969000000000001,0.011315652875552527
rawpca,30,plain_voronoi,0.85372,0.01727673580280721
rawpca,30,lda,0.8943800000000002,0.010555643040573123
rawpca,30,qda,0.88568,0.013462748604946916
rawpca,30,power_single,0.85372,0.01727673580280721
rawpca,30,power_multi,0.8518399999999999,0.015805518023778872
rawpca,32,linear_probe,0.8879999999999999,0.008529478295886548
rawpca,32,plain_voronoi,0.84544,0.011005743954862847
rawpca,32,lda,0.8860800000000001,0.010209093985266277
rawpca,32,qda,0.87646,0.017630950059483473
rawpca,32,power_single,0.84544,0.011005743954862847
rawpca,32,power_multi,0.83888,0.03897006030275038
