space,layer,class_label,n,d_fractal
pns,2,Refusal,500,1.385050158003615
pns,2,Jailbreak,500,1.5060261967142037
pns,2,Benign,500,1.6183919754994833
pns,4,Refusal,500,1.8763355161721909
pns,4,Jailbreak,500,1.43209011296137
pns,4,Benign,500,1.3792391362112548
pns,6,Refusal,500,2.1848698274901968
pns,6,Jailbreak,500,1.5241484733580355
pns,6,Benign,500,1.4446250212554623
pns,8,Refusal,500,2.5238913407021233
pns,8,Jailbreak,500,1.4678333531560124
pns,8,Benign,500,1.4165734219033816
pns,10,Refusal,500,2.336163572021276
pns,10,Jailbreak,500,1.54202973652371
pns,10,Benign,500,1.4479773704982817
pns,12,Refusal,500,2.2933389957759274
pns,12,Jailbreak,500,1.5178988931197044
pns,12,Benign,500,1.456017428285797
pns,14,Refusal,500,2.3926849312015706
pns,14,Jailbreak,500,1.4566428314120965
pns,14,Benign,500,1.380241152232111
pns,16,Refusal,500,2.353853832724933
pns,16,Jailbreak,500,1.4475426076707356
pns,16,Benign,500,1.3399626891304532
pns,18,Refusal,500,2.236409416476808
pns,18,Jailbreak,500,1.4125321928277934
pns,18,Benign,500,2.717517238772562
pns,20,Refusal,500,2.3605019971462093
pns,20,Jailbreak,500,1.412327065042452
pns,20,Benign,500,2.78051827197805
pns,22,Refusal,500,2.399967410263866
pns,22,Jailbreak,500,1.3998407910429207
pns,22,Benign,500,2.7210287869863787
pns,24,Refusal,500,2.393349332520507
pns,24,Jailbreak,500,1.4102008370237669
pns,24,Benign,500,2.581122950933025
pns,26,Refusal,500,2.5036774802019077
pns,26,Jailbreak,500,1.3887799100256548
pns,26,Benign,500,2.3049562839883504
pns,28,Refusal,500,2.474609724045264
pns,28,Jailbreak,500,1.3836437519594036
pns,28,Benign,500,2.178526606223983
pns,30,Refusal,500,2.6553542132780743
pns,30,Jailbreak,500,1.3861296657776947
pns,30,Benign,500,1.741565568315098
pns,32,Refusal,500,2.7119306125465075
pns,32,Jailbreak,500,1.406188190628667
pns,32,Benign,500,1.8206207585421215
