space,layer,class_label,n,d_fractal
rawpca,2,Refusal,500,3.101029639950951
rawpca,2,Jailbreak,500,3.983126772324144
rawpca,2,Benign,500,3.7756419160882384
rawpca,4,Refusal,500,3.3235841523037166
rawpca,4,Jailbreak,500,4.103310286094993
rawpca,4,Benign,500,3.961320033401958
rawpca,6,Refusal,500,4.159117857368116
rawpca,6,Jailbreak,500,3.472735605831078
rawpca,6,Benign,500,3.591561846707243
rawpca,8,Refusal,500,5.034747927068486
rawpca,8,Jailbreak,500,3.42899469085841
rawpca,8,Benign,500,3.6589752866691283
rawpca,10,Refusal,500,4.503987779596205
rawpca,10,Jailbreak,500,3.7451268517220435
rawpca,10,Benign,500,4.106455017223792
rawpca,12,Refusal,500,4.274012316224497
rawpca,12,Jailbreak,500,3.6842500817837327
rawpca,12,Benign,500,4.241799187264392
rawpca,14,Refusal,500,4.567329595280058
rawpca,14,Jailbreak,500,3.578007847365904
rawpca,14,Benign,500,4.272978751147738
rawpca,16,Refusal,500,4.363650948748747
rawpca,16,Jailbreak,500,3.641021943465253
rawpca,16,Benign,500,4.5996313066528
rawpca,18,Refusal,500,4.508883062126544
rawpca,18,Jailbreak,500,3.788901672931635
rawpca,18,Benign,500,5.010972549876155
rawpca,20,Refusal,500,4.517601061388307
rawpca,20,Jailbreak,500,4.081731817425807
rawpca,20,Benign,500,5.213879161617898
rawpca,22,Refusal,500,4.378562820115076
rawpca,22,Jailbreak,500,4.189497978266701
rawpca,22,Benign,500,5.2986171555420825
rawpca,24,Refusal,500,4.269666710770235
rawpca,24,Jailbreak,500,4.278028151641985
rawpca,24,Benign,500,5.296712827159871
rawpca,26,Refusal,500,3.9373984200778454
rawpca,26,Jailbreak,500,4.2128805707936126
rawpca,26,Benign,500,5.3466318534800115
rawpca,28,Refusal,500,3.759517395034588
rawpca,28,Jailbreak,500,4.252800975352784
rawpca,28,Benign,500,5.633626245942959
rawpca,30,Refusal,500,3.9019772728364357
rawpca,30,Jailbreak,500,4.406547218025169
rawpca,30,Benign,500,5.8621383161891885
rawpca,32,Refusal,500,4.263294112664413
rawpca,32,Jailbreak,500,4.278515353602121
rawpca,32,Benign,500,6.246293011795031
